heldout_site,mapping,missing_indicators,domain,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,isotonic,False,ood_test,label_conditional,0.1,coverage,10,0.8597359735973598,0.13319284098319442,0.5643564356435643,0.8061056105610561,0.9108910891089108,0.9422442244224423,0.9900990099009901
Cleveland,isotonic,False,ood_test,label_conditional,0.1,avg_set_size,10,1.503960396039604,0.26109970304321545,1.1518151815181519,1.2458745874587458,1.5957095709570956,1.688943894389439,1.8778877887788779
Cleveland,isotonic,False,ood_test,label_conditional,0.1,singleton_rate,10,0.49603960396039604,0.26109970304321545,0.12211221122112212,0.3110561056105611,0.40429042904290424,0.7541254125412542,0.8481848184818482
Cleveland,isotonic,False,ood_test,label_conditional,0.1,singleton_accuracy,10,0.7508746018070962,0.15876791440850352,0.4430379746835443,0.63417176209005,0.8057384244020189,0.8472119246215631,0.9217391304347826
Cleveland,isotonic,False,ood_test,label_conditional,0.1,class0_coverage,10,0.9164634146341463,0.19207155761356423,0.3719512195121951,0.9573170731707317,0.9817073170731707,0.9817073170731707,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.1,class1_coverage,10,0.7928057553956834,0.18447467244200438,0.4172661870503597,0.7553956834532374,0.8309352517985611,0.89568345323741,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.1,class0_avg_set_size,10,1.4743902439024392,0.29197350789851023,1.048780487804878,1.2804878048780488,1.5060975609756098,1.670731707317073,1.9817073170731707
Cleveland,isotonic,False,ood_test,label_conditional,0.1,class1_avg_set_size,10,1.5388489208633094,0.26307839766149266,1.143884892086331,1.302158273381295,1.579136690647482,1.7553956834532374,1.8633093525179856
Cleveland,isotonic,False,ood_test,label_conditional,0.1,class0_singleton_accuracy,10,0.7731557431324242,0.3784656743074795,0.0,0.8510416666666667,0.9507096279248178,0.9792209908735332,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.1,class1_singleton_accuracy,10,0.5148892289142968,0.3535157651109271,0.0,0.29637832204273057,0.512214342001576,0.7362745098039216,1.0
Cleveland,isotonic,False,ood_test,label_conditional,0.1,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,isotonic,False,ood_test,label_conditional,0.2,coverage,10,0.7805280528052805,0.12717814157392,0.528052805280528,0.7293729372937293,0.806930693069307,0.8481848184818481,0.9405940594059405
Cleveland,isotonic,False,ood_test,label_conditional,0.2,avg_set_size,10,1.2174917491749178,0.13230120765462905,1.0891089108910892,1.1295379537953796,1.155115511551155,1.2929042904290429,1.495049504950495
Cleveland,isotonic,False,ood_test,label_conditional,0.2,singleton_rate,10,0.7825082508250825,0.13230120765462905,0.504950495049505,0.7070957095709571,0.8448844884488449,0.8704620462046204,0.9108910891089109
Cleveland,isotonic,False,ood_test,label_conditional,0.2,singleton_accuracy,10,0.7267468452687775,0.14585665699136344,0.43700787401574803,0.633427515757444,0.7565301651499832,0.826964974605201,0.8823529411764706
Cleveland,isotonic,False,ood_test,label_conditional,0.2,class0_coverage,10,0.8676829268292682,0.20256081653224495,0.3048780487804878,0.8978658536585367,0.9268292682926829,0.9603658536585366,0.9817073170731707
