analysis_id,estimand,representation,horizon_day,domain,alpha,conformal_method,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,class0_coverage,10,0.880952380952381,0.06349206349206349,0.7619047619047619,0.8392857142857143,0.8809523809523809,0.9226190476190477,0.9761904761904762
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,class1_coverage,10,0.8071428571428572,0.16512896080380668,0.5714285714285714,0.6607142857142858,0.7857142857142857,0.9821428571428572,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,class0_avg_set_size,10,1.6,0.22637836807628023,1.2380952380952381,1.505952380952381,1.5595238095238095,1.7916666666666667,1.9047619047619047
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,class1_avg_set_size,10,1.4642857142857144,0.27612889297007626,1.0714285714285714,1.2857142857142858,1.4285714285714286,1.6964285714285714,1.8571428571428572
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,class0_singleton_accuracy,10,0.6337325134732256,0.2548825261465232,0.0,0.6403508771929824,0.7083333333333333,0.796875,0.8333333333333334
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,label_conditional,class1_singleton_accuracy,10,0.725989010989011,0.20564079310548172,0.5,0.5744047619047619,0.6333333333333333,0.95,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,coverage,10,0.8339285714285714,0.0512389028968032,0.7678571428571429,0.7946428571428571,0.8392857142857142,0.8571428571428571,0.9285714285714286
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,avg_set_size,10,1.2071428571428573,0.18732512631210424,1.0178571428571428,1.09375,1.1785714285714286,1.2321428571428572,1.6607142857142858
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,singleton_rate,10,0.7928571428571429,0.18732512631210424,0.3392857142857143,0.7678571428571429,0.8214285714285714,0.90625,0.9821428571428571
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,ambiguous_rate,10,0.20714285714285716,0.18732512631210424,0.017857142857142856,0.09375,0.17857142857142858,0.23214285714285715,0.6607142857142857
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,singleton_accuracy,10,0.791880246203539,0.02842593528455721,0.7592592592592593,0.7671717171717172,0.786628733997155,0.8114455084359325,0.8372093023255814
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,class0_coverage,10,0.9952380952380953,0.015058465048420872,0.9523809523809523,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,class1_coverage,10,0.35,0.1947438575874146,0.07142857142857142,0.2857142857142857,0.3571428571428571,0.42857142857142855,0.7142857142857143
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,class0_avg_set_size,10,1.1666666666666665,0.19375485104339207,1.0,1.0357142857142856,1.119047619047619,1.1666666666666667,1.6428571428571428
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,class1_avg_set_size,10,1.3285714285714287,0.20259092748745378,1.0714285714285714,1.1785714285714286,1.3214285714285716,1.4285714285714286,1.7142857142857142
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,class0_singleton_accuracy,10,0.9947368421052631,0.016643566632465173,0.9473684210526315,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,id_test,0.2,marginal,class1_singleton_accuracy,10,0.02777777777777778,0.060006858318591295,0.0,0.0,0.0,0.0,0.16666666666666666
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,coverage,10,0.9449685534591195,0.026775764726299365,0.8805031446540881,0.9386792452830188,0.9528301886792453,0.9630503144654088,0.9716981132075472
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,avg_set_size,10,1.8,0.11803698341734832,1.5974842767295598,1.75,1.79874213836478,1.8970125786163523,1.9622641509433962
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,singleton_rate,10,0.2,0.11803698341734833,0.03773584905660377,0.1029874213836478,0.20125786163522014,0.25,0.4025157232704403
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,ambiguous_rate,10,0.8,0.11803698341734836,0.5974842767295597,0.75,0.7987421383647799,0.8970125786163522,0.9622641509433962
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
