analysis_id,estimand,representation,horizon_day,domain,desired_selection_rate,metric,n_repeats,mean,sd,min,q25,median,q75,max
FFF-J,landmark_still_registered,score_free,56,id_test,0.95,selection_rate,10,0.9524305555555556,0.018303877618446224,0.9097222222222222,0.9453125,0.953125,0.9644097222222222,0.9722222222222222
FFF-J,landmark_still_registered,score_free,56,id_test,0.95,selective_risk,10,0.2482584776848425,0.017022964380264117,0.2116788321167883,0.241735347985348,0.25140874392782786,0.2534342482480357,0.2785714285714286
FFF-J,landmark_still_registered,score_free,56,id_test,0.95,selective_accuracy,10,0.7517415223151576,0.017022964380264124,0.7214285714285714,0.7465657517519644,0.7485912560721721,0.758264652014652,0.7883211678832117
FFF-J,landmark_still_registered,score_free,56,ood_test,0.5,selection_rate,10,0.4618436406067678,0.036800037155575296,0.40781796966161027,0.43319719953325553,0.4687864644107351,0.47607934655775963,0.5379229871645275
FFF-J,landmark_still_registered,score_free,56,ood_test,0.5,selective_risk,10,0.13897585493918055,0.011888760686133126,0.11382113821138211,0.13495630461922598,0.14161514800366443,0.14531688728439632,0.1530758226037196
FFF-J,landmark_still_registered,score_free,56,ood_test,0.5,selective_accuracy,10,0.8610241450608195,0.011888760686133143,0.8469241773962803,0.8546831127156037,0.8583848519963355,0.8650436953807741,0.8861788617886179
FFF-J,landmark_still_registered,score_free,56,ood_test,0.7,selection_rate,10,0.6768378063010502,0.024615654210310058,0.646441073512252,0.6640898483080514,0.6677362893815636,0.6944282380396732,0.7240373395565928
FFF-J,landmark_still_registered,score_free,56,ood_test,0.7,selective_risk,10,0.18736834442490566,0.010761283643298028,0.16696750902527077,0.18149046557626008,0.18835803274216717,0.196654651439532,0.2
FFF-J,landmark_still_registered,score_free,56,ood_test,0.7,selective_accuracy,10,0.8126316555750943,0.010761283643298024,0.8,0.803345348560468,0.8116419672578328,0.81850953442374,0.8330324909747292
FFF-J,landmark_still_registered,score_free,56,ood_test,0.8,selection_rate,10,0.7750875145857642,0.021887504149298843,0.735705950991832,0.757147024504084,0.7820886814469078,0.7922987164527421,0.8010501750291715
FFF-J,landmark_still_registered,score_free,56,ood_test,0.8,selective_risk,10,0.20769840812033058,0.00832513899570943,0.1959721146398141,0.20147380471208207,0.20670675478367787,0.21511690350297422,0.21916790490341753
FFF-J,landmark_still_registered,score_free,56,ood_test,0.8,selective_accuracy,10,0.7923015918796694,0.00832513899570943,0.7808320950965825,0.7848830964970257,0.7932932452163222,0.7985261952879179,0.8040278853601859
FFF-J,landmark_still_registered,score_free,56,ood_test,0.9,selection_rate,10,0.8896149358226373,0.02017091613101082,0.8494749124854143,0.8789381563593932,0.8888564760793465,0.9008168028004668,0.9200700116686115
FFF-J,landmark_still_registered,score_free,56,ood_test,0.9,selective_risk,10,0.23362050004765536,0.00784098231069791,0.2190934065934066,0.22983662168302915,0.23458011618578778,0.23950557921570423,0.24442988204456095
FFF-J,landmark_still_registered,score_free,56,ood_test,0.9,selective_accuracy,10,0.7663794999523447,0.007840982310697906,0.755570117955439,0.7604944207842957,0.7654198838142122,0.7701633783169708,0.7809065934065934
FFF-J,landmark_still_registered,score_free,56,ood_test,0.95,selection_rate,10,0.9385647607934656,0.018324323232643203,0.9054842473745625,0.9296966161026837,0.9372812135355892,0.9525962660443408,0.9626604434072346
FFF-J,landmark_still_registered,score_free,56,ood_test,0.95,selective_risk,10,0.24472396550191186,0.006283222889280381,0.2338917525773196,0.24153801326021743,0.24555989218555274,0.2494731970538422,0.2535915053091818
FFF-J,landmark_still_registered,score_free,56,ood_test,0.95,selective_accuracy,10,0.755276034498088,0.006283222889280373,0.7464084946908183,0.7505268029461578,0.7544401078144473,0.7584619867397826,0.7661082474226804
GGG-J,landmark_still_registered,score_free,14,id_test,0.5,selection_rate,10,0.5142857142857142,0.04123930494211613,0.44285714285714284,0.5089285714285714,0.5214285714285715,0.5285714285714286,0.5928571428571429
GGG-J,landmark_still_registered,score_free,14,id_test,0.5,selective_risk,10,0.296229228076332,0.05101355428536521,0.22972972972972974,0.2573266037121459,0.2917229403820181,0.32318824569155985,0.4027777777777778
GGG-J,landmark_still_registered,score_free,14,id_test,0.5,selective_accuracy,10,0.7037707719236681,0.05101355428536521,0.5972222222222222,0.6768117543084402,0.7082770596179818,0.7426733962878541,0.7702702702702703
GGG-J,landmark_still_registered,score_free,14,id_test,0.7,selection_rate,10,0.7128571428571429,0.046266505910442374,0.6642857142857143,0.6785714285714286,0.6964285714285714,0.7607142857142857,0.7785714285714286
GGG-J,landmark_still_registered,score_free,14,id_test,0.7,selective_risk,10,0.3183076166106231,0.03286825844285323,0.26881720430107525,0.29797979797979796,0.3174132038136356,0.3368421052631579,0.375
GGG-J,landmark_still_registered,score_free,14,id_test,0.7,selective_accuracy,10,0.6816923833893769,0.03286825844285323,0.625,0.6631578947368422,0.6825867961863644,0.702020202020202,0.7311827956989247
GGG-J,landmark_still_registered,score_free,14,id_test,0.8,selection_rate,10,0.8099999999999999,0.04928053803045814,0.7,0.7875,0.8214285714285714,0.8357142857142857,0.8642857142857143
GGG-J,landmark_still_registered,score_free,14,id_test,0.8,selective_risk,10,0.3336295740510167,0.03063362439561216,0.2857142857142857,0.31745471653728535,0.32602952602952606,0.36247086247086246,0.37168141592920356
GGG-J,landmark_still_registered,score_free,14,id_test,0.8,selective_accuracy,10,0.6663704259489833,0.030633624395612163,0.6283185840707964,0.6375291375291375,0.6739704739704739,0.6825452834627146,0.7142857142857143
GGG-J,landmark_still_registered,score_free,14,id_test,0.9,selection_rate,10,0.9085714285714286,0.050932350312841664,0.8142857142857143,0.8875,0.9178571428571428,0.9410714285714286,0.9785714285714285
GGG-J,landmark_still_registered,score_free,14,id_test,0.9,selective_risk,10,0.34923493559815494,0.029640189142798867,0.31007751937984496,0.32158786797502226,0.35293629727936293,0.37195226159279937,0.3870967741935484
GGG-J,landmark_still_registered,score_free,14,id_test,0.9,selective_accuracy,10,0.650765064401845,0.02964018914279887,0.6129032258064516,0.6280477384072005,0.6470637027206371,0.6784121320249777,0.689922480620155
GGG-J,landmark_still_registered,score_free,14,id_test,0.95,selection_rate,10,0.9457142857142857,0.02288688541085319,0.9214285714285714,0.9303571428571429,0.9357142857142857,0.9571428571428572,0.9857142857142858
GGG-J,landmark_still_registered,score_free,14,id_test,0.95,selective_risk,10,0.3525142694286049,0.033093704748568556,0.3023255813953488,0.3262789107895636,0.3618710648019168,0.38085284280936454,0.3880597014925373
GGG-J,landmark_still_registered,score_free,14,id_test,0.95,selective_accuracy,10,0.647485730571395,0.03309370474856854,0.6119402985074627,0.6191471571906355,0.6381289351980832,0.6737210892104364,0.6976744186046512
