bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
8,0.8,0.9,37,37.0,0.8378378378378378,0.8535321783867549,0.015694340548917052,Hungary,0
9,0.9,1.0,30,30.0,0.9666666666666667,0.9328894666961172,0.03377719997054951,Hungary,0
0,0.0,0.1,74,74.0,0.06756756756756757,0.05899640263777834,0.008571164929789231,Hungary,1
1,0.1,0.2,52,52.0,0.19230769230769232,0.1516263258883694,0.040681366419322906,Hungary,1
2,0.2,0.30000000000000004,34,34.0,0.029411764705882353,0.24075905641176346,0.2113472917058811,Hungary,1
3,0.30000000000000004,0.4,19,19.0,0.47368421052631576,0.35014104945772545,0.12354316106859031,Hungary,1
4,0.4,0.5,13,13.0,0.3076923076923077,0.44552166276989796,0.13782935507759025,Hungary,1
5,0.5,0.6000000000000001,12,12.0,0.3333333333333333,0.5645141726438654,0.23118083931053207,Hungary,1
6,0.6000000000000001,0.7000000000000001,13,13.0,0.5384615384615384,0.6625084879303885,0.12404694946885009,Hungary,1
7,0.7000000000000001,0.8,21,21.0,0.8095238095238095,0.7558177438223339,0.053706065701475625,Hungary,1
8,0.8,0.9,38,38.0,0.8421052631578947,0.8528501263729288,0.010744863215034095,Hungary,1
9,0.9,1.0,18,18.0,0.9444444444444444,0.938082017092282,0.006362427352162414,Hungary,1
0,0.0,0.1,53,53.0,0.03773584905660377,0.0585084134988157,0.020772564442211927,Hungary,2
1,0.1,0.2,46,46.0,0.15217391304347827,0.1434803541216953,0.008693558921782973,Hungary,2
2,0.2,0.30000000000000004,43,43.0,0.11627906976744186,0.24973112774136236,0.1334520579739205,Hungary,2
3,0.30000000000000004,0.4,23,23.0,0.2608695652173913,0.3545403713774561,0.09367080616006479,Hungary,2
4,0.4,0.5,22,22.0,0.22727272727272727,0.44614228128398137,0.2188695540112541,Hungary,2
5,0.5,0.6000000000000001,19,19.0,0.47368421052631576,0.544526502716233,0.07084229218991728,Hungary,2
6,0.6000000000000001,0.7000000000000001,14,14.0,0.5714285714285714,0.6543961881528647,0.08296761672429331,Hungary,2
7,0.7000000000000001,0.8,22,22.0,0.6818181818181818,0.7584407639576994,0.07662258213951767,Hungary,2
8,0.8,0.9,34,34.0,0.9411764705882353,0.8534998550695747,0.08767661551866057,Hungary,2
9,0.9,1.0,18,18.0,0.9444444444444444,0.9369813528097755,0.007463091634668961,Hungary,2
0,0.0,0.1,74,74.0,0.05405405405405406,0.05282731561314321,0.0012267384409108475,Hungary,3
1,0.1,0.2,41,41.0,0.14634146341463414,0.1491047153165635,0.002763251901929359,Hungary,3
2,0.2,0.30000000000000004,24,24.0,0.16666666666666666,0.24685049299545572,0.08018382632878907,Hungary,3
3,0.30000000000000004,0.4,21,21.0,0.14285714285714285,0.3489006288488637,0.20604348599172084,Hungary,3
4,0.4,0.5,13,13.0,0.38461538461538464,0.44873774946775247,0.06412236485236783,Hungary,3
5,0.5,0.6000000000000001,16,16.0,0.4375,0.5445968863476658,0.10709688634766579,Hungary,3
6,0.6000000000000001,0.7000000000000001,12,12.0,0.4166666666666667,0.6547466835809236,0.2380800169142569,Hungary,3
7,0.7000000000000001,0.8,15,15.0,0.4666666666666667,0.7542326392112412,0.2875659725445745,Hungary,3
8,0.8,0.9,25,25.0,0.64,0.8586357542793902,0.2186357542793902,Hungary,3
9,0.9,1.0,53,53.0,0.9245283018867925,0.9491745626485272,0.024646260761734706,Hungary,3
0,0.0,0.1,9,9.0,0.0,0.08668261957841615,0.08668261957841615,Hungary,4
1,0.1,0.2,64,64.0,0.109375,0.15292169043833181,0.043546690438331814,Hungary,4
2,0.2,0.30000000000000004,49,49.0,0.14285714285714285,0.24761926127709893,0.10476211841995609,Hungary,4
3,0.30000000000000004,0.4,37,37.0,0.13513513513513514,0.33899963572473035,0.2038645005895952,Hungary,4
4,0.4,0.5,23,23.0,0.17391304347826086,0.44812914282101807,0.2742160993427572,Hungary,4
5,0.5,0.6000000000000001,17,17.0,0.5294117647058824,0.5494589245988998,0.02004715989301742,Hungary,4
6,0.6000000000000001,0.7000000000000001,19,19.0,0.631578947368421,0.6516308713377034,0.020051923969282348,Hungary,4
7,0.7000000000000001,0.8,23,23.0,0.6086956521739131,0.7561001268163979,0.14740447464248485,Hungary,4
8,0.8,0.9,37,37.0,0.8648648648648649,0.8516468434625093,0.013218021402355618,Hungary,4
9,0.9,1.0,16,16.0,1.0,0.9236528123241011,0.07634718767589888,Hungary,4
0,0.0,0.1,43,43.0,0.023255813953488372,0.07799993030027141,0.05474411634678304,Hungary,5
1,0.1,0.2,62,62.0,0.11290322580645161,0.14436388287971055,0.031460657073258944,Hungary,5
2,0.2,0.30000000000000004,44,44.0,0.11363636363636363,0.24553607423864302,0.1318997106022794,Hungary,5
3,0.30000000000000004,0.4,24,24.0,0.3333333333333333,0.3519769787739102,0.018643645440576895,Hungary,5
4,0.4,0.5,20,20.0,0.35,0.44149879044609663,0.09149879044609666,Hungary,5
5,0.5,0.6000000000000001,18,18.0,0.5,0.5375474921056547,0.03754749210565467,Hungary,5
6,0.6000000000000001,0.7000000000000001,11,11.0,0.5454545454545454,0.6425372438924032,0.09708269843785777,Hungary,5
7,0.7000000000000001,0.8,30,30.0,0.7666666666666667,0.7471696029814725,0.019497063685194216,Hungary,5
8,0.8,0.9,29,29.0,0.9655172413793104,0.8377054219079481,0.12781181947136233,Hungary,5
9,0.9,1.0,13,13.0,0.9230769230769231,0.9259300117180383,0.00285308864111522,Hungary,5
