bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
0,0.0,0.1,4,4.0,0.5,0.06579329046899177,0.43420670953100826,Switzerland,1
1,0.1,0.2,6,6.0,0.8333333333333334,0.15049355742128473,0.6828397759120486,Switzerland,1
2,0.2,0.30000000000000004,8,8.0,0.875,0.22451290360580234,0.6504870963941977,Switzerland,1
3,0.30000000000000004,0.4,11,11.0,1.0,0.35472283695980805,0.6452771630401919,Switzerland,1
4,0.4,0.5,9,9.0,0.8888888888888888,0.4399424682541582,0.4489464206347306,Switzerland,1
5,0.5,0.6000000000000001,12,12.0,0.9166666666666666,0.5492078759122585,0.3674587907544081,Switzerland,1
6,0.6000000000000001,0.7000000000000001,14,14.0,1.0,0.6422500514899493,0.3577499485100507,Switzerland,1
7,0.7000000000000001,0.8,17,17.0,0.9411764705882353,0.7509963802504743,0.19018009033776095,Switzerland,1
8,0.8,0.9,24,24.0,0.9583333333333334,0.8516365499759903,0.10669678335734312,Switzerland,1
9,0.9,1.0,18,18.0,1.0,0.9362032981017026,0.06379670189829745,Switzerland,1
0,0.0,0.1,2,2.0,0.0,0.05928301672317862,0.05928301672317862,Switzerland,2
1,0.1,0.2,10,10.0,0.9,0.14442968911163326,0.7555703108883668,Switzerland,2
2,0.2,0.30000000000000004,8,8.0,0.875,0.2479043751258741,0.627095624874126,Switzerland,2
3,0.30000000000000004,0.4,15,15.0,0.9333333333333333,0.34673868814078246,0.5865946451925509,Switzerland,2
4,0.4,0.5,12,12.0,0.9166666666666666,0.440444932789344,0.47622173387732264,Switzerland,2
5,0.5,0.6000000000000001,23,23.0,1.0,0.5563755224041305,0.44362447759586954,Switzerland,2
6,0.6000000000000001,0.7000000000000001,17,17.0,1.0,0.6617275356569827,0.3382724643430173,Switzerland,2
7,0.7000000000000001,0.8,13,13.0,0.8461538461538461,0.7417193021481728,0.10443454400567331,Switzerland,2
8,0.8,0.9,17,17.0,1.0,0.8551901296840206,0.14480987031597936,Switzerland,2
9,0.9,1.0,6,6.0,1.0,0.9233797492063417,0.0766202507936583,Switzerland,2
0,0.0,0.1,4,4.0,0.5,0.06526537054097058,0.4347346294590294,Switzerland,3
1,0.1,0.2,7,7.0,0.8571428571428571,0.1498464219340939,0.7072964352087632,Switzerland,3
2,0.2,0.30000000000000004,9,9.0,0.8888888888888888,0.26382984224203626,0.6250590466468526,Switzerland,3
3,0.30000000000000004,0.4,9,9.0,0.8888888888888888,0.35289793909522416,0.5359909497936647,Switzerland,3
4,0.4,0.5,8,8.0,1.0,0.4643222820652142,0.5356777179347858,Switzerland,3
5,0.5,0.6000000000000001,10,10.0,1.0,0.5444860324956464,0.4555139675043536,Switzerland,3
6,0.6000000000000001,0.7000000000000001,13,13.0,0.9230769230769231,0.6366569723312648,0.2864199507456583,Switzerland,3
7,0.7000000000000001,0.8,19,19.0,1.0,0.7438044016937887,0.2561955983062113,Switzerland,3
8,0.8,0.9,24,24.0,0.9583333333333334,0.8496872603451391,0.10864607298819429,Switzerland,3
9,0.9,1.0,20,20.0,0.95,0.9394658862619873,0.010534113738012607,Switzerland,3
0,0.0,0.1,12,12.0,0.6666666666666666,0.05655891679546182,0.6101077498712049,Switzerland,4
1,0.1,0.2,8,8.0,1.0,0.1463490791845664,0.8536509208154336,Switzerland,4
2,0.2,0.30000000000000004,7,7.0,1.0,0.24662419765533672,0.7533758023446633,Switzerland,4
3,0.30000000000000004,0.4,15,15.0,0.8666666666666667,0.3358623722095499,0.5308042944571167,Switzerland,4
4,0.4,0.5,8,8.0,1.0,0.4565718747493036,0.5434281252506964,Switzerland,4
5,0.5,0.6000000000000001,9,9.0,1.0,0.5421089602396195,0.4578910397603805,Switzerland,4
6,0.6000000000000001,0.7000000000000001,9,9.0,1.0,0.6457635478294074,0.35423645217059263,Switzerland,4
7,0.7000000000000001,0.8,16,16.0,1.0,0.7539667563160088,0.24603324368399115,Switzerland,4
8,0.8,0.9,14,14.0,0.8571428571428571,0.8340255516499322,0.0231173054929249,Switzerland,4
9,0.9,1.0,25,25.0,1.0,0.9404538795958319,0.05954612040416807,Switzerland,4
0,0.0,0.1,1,1.0,0.0,0.04960653062853913,0.04960653062853913,Switzerland,5
1,0.1,0.2,12,12.0,0.75,0.15587049455630972,0.5941295054436903,Switzerland,5
2,0.2,0.30000000000000004,5,5.0,1.0,0.26383832839212895,0.736161671607871,Switzerland,5
3,0.30000000000000004,0.4,12,12.0,0.9166666666666666,0.3551221298568239,0.5615445368098427,Switzerland,5
4,0.4,0.5,17,17.0,0.9411764705882353,0.44934199610905157,0.4918344744791837,Switzerland,5
5,0.5,0.6000000000000001,20,20.0,1.0,0.5444419728974998,0.45555802710250015,Switzerland,5
6,0.6000000000000001,0.7000000000000001,20,20.0,0.95,0.6512886660335455,0.29871133396645444,Switzerland,5
7,0.7000000000000001,0.8,16,16.0,0.9375,0.7471049326664575,0.1903950673335425,Switzerland,5
8,0.8,0.9,17,17.0,1.0,0.8542741425955364,0.14572585740446364,Switzerland,5
9,0.9,1.0,3,3.0,1.0,0.9183609379853647,0.08163906201463533,Switzerland,5
0,0.0,0.1,3,3.0,0.3333333333333333,0.06991516800698795,0.2634181653263454,Switzerland,6
1,0.1,0.2,8,8.0,0.75,0.15370957821454545,0.5962904217854545,Switzerland,6
2,0.2,0.30000000000000004,11,11.0,1.0,0.26244028308954165,0.7375597169104584,Switzerland,6
3,0.30000000000000004,0.4,5,5.0,1.0,0.34751861936262846,0.6524813806373715,Switzerland,6
