domain_family,condition,model,domain,prevalence_mean,prevalence_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,selection_rate_080_mean,selection_rate_080_std,selective_risk_080_mean,selective_risk_080_std,marginal_coverage_090_mean,marginal_coverage_090_std,marginal_avg_set_size_090_mean,marginal_avg_set_size_090_std,marginal_worst_class_coverage_090_mean,marginal_worst_class_coverage_090_std,lc_coverage_090_mean,lc_coverage_090_std,lc_avg_set_size_090_mean,lc_avg_set_size_090_std,lc_worst_class_coverage_090_mean,lc_worst_class_coverage_090_std
HeartDisease,Switzerland,lightgbm,id_test,0.4916666666666666,0.0,0.8898860794665184,0.0348582308216357,0.13478343422673586,0.021205163834769777,0.421718935028069,0.056456439044007906,0.1147790114458708,0.012723522713392056,0.775,0.07576767609436585,0.12308178799949676,0.03593689671702811,0.9166666666666666,0.045980403770130115,1.2783333333333333,0.14295168829078297,0.8979160878021674,0.05511999387866491,0.9066666666666666,0.06295206877429022,1.2808333333333333,0.14460728001071996,0.8831342039455403,0.0808345402542259
HeartDisease,Switzerland,lightgbm,ood_test,0.9349593495934959,0.0,0.73,0.02736502842147798,0.18995994657770832,0.0346491077693595,0.5639561024711199,0.08349860163736574,0.31264465967357263,0.04184053566800792,0.6837398373983741,0.07029895965361345,0.22413557764131156,0.09953607216055639,0.8772357723577235,0.06576493739149532,1.4073170731707318,0.18441928558601695,0.775,0.07905694150420949,0.843089430894309,0.09905881213695213,1.4,0.20427205657477787,0.77,0.08022593332627445
HeartDisease,Switzerland,logistic_regression,id_test,0.4916666666666666,0.0,0.8916921367046402,0.03352650134982875,0.13271098051780408,0.02138210761032267,0.4197451599484586,0.061585934546986056,0.09434490665241271,0.012502667110048675,0.7708333333333333,0.06727156132395741,0.12049935410319183,0.025749724230854146,0.9099999999999999,0.0459468291736341,1.2466666666666666,0.10730998135665404,0.8919422061683802,0.04611042844810111,0.9108333333333333,0.04462636379629212,1.2733333333333332,0.12049281521534187,0.8825229230341762,0.06198453640733686
HeartDisease,Switzerland,logistic_regression,ood_test,0.9349593495934961,0.0,0.7418478260869565,0.012522296854192346,0.21292816426819364,0.031144172751170356,0.6232448994618822,0.08334627759707414,0.3340722602189278,0.04630358484380028,0.6780487804878048,0.04586275512478305,0.26817475136795793,0.0677691018408341,0.8292682926829269,0.06812902487792159,1.3528455284552847,0.12833058564947558,0.7454347826086957,0.06066823155920157,0.8195121951219513,0.0813730483071493,1.389430894308943,0.12679046496023474,0.7609782608695652,0.050236915082945144
HeartDisease,VA Long Beach,lightgbm,id_test,0.5,0.0,0.9176268861454047,0.023770707233038126,0.1121473960915405,0.014678727777917452,0.3698557789691935,0.04389313573685588,0.1078135663381458,0.021023091119319423,0.787962962962963,0.07191424256569906,0.0919894922557262,0.03371012592103005,0.9083333333333334,0.03987338977708309,1.1601851851851852,0.08270798744570562,0.8833333333333334,0.04455575909288542,0.9259259259259259,0.036519011006787755,1.2444444444444445,0.10219731908741132,0.8870370370370371,0.059496695111217246
HeartDisease,VA Long Beach,lightgbm,ood_test,0.745,0.0,0.6766943018818266,0.013502685750204687,0.22639843696188308,0.017682907145372483,0.7006511390534553,0.06181896506621741,0.20174331384900396,0.031520578330545924,0.709,0.07978443178688156,0.2652050832229185,0.03718788813547244,0.7865,0.05121035051627748,1.2295,0.11076627043765024,0.7059744703250428,0.04993815874201406,0.8334999999999999,0.04938792025046877,1.332,0.10773424092026945,0.7083958415580998,0.05657093422474407
HeartDisease,VA Long Beach,logistic_regression,id_test,0.5,0.0,0.9079903978052126,0.02562628296109684,0.11758240490701896,0.01605344757203114,0.38811162705044994,0.04646452632333623,0.10037902929313738,0.015997434688859797,0.8157407407407409,0.06524694278004882,0.10621603183717185,0.031334169225263456,0.9064814814814814,0.0446091768786352,1.2046296296296295,0.09656598039069313,0.888888888888889,0.05014838521380223,0.924074074074074,0.03318439519929782,1.2648148148148148,0.1021973190874113,0.8925925925925926,0.049996189460040995
HeartDisease,VA Long Beach,logistic_regression,ood_test,0.745,0.0,0.7042505592841163,0.013798614027775612,0.19014801690273045,0.008921373265705775,0.5827600741109125,0.03319133827473509,0.13854442375354215,0.03633863137353195,0.734,0.09576591831706681,0.21556906042630314,0.021427614027564205,0.8564999999999999,0.052707262834978966,1.302,0.13948715592005834,0.6862745098039216,0.11909063502149411,0.8625,0.04373213921133977,1.3699999999999999,0.12362577940435127,0.7333333333333333,0.06613914060482885
OULAD,pooled_landmark_day14,lightgbm,id_test,0.4562570434669529,0.0014354977704024406,0.7367755785203725,0.01042992912397842,0.20587918668079083,0.003384074899015425,0.5991134999443432,0.00714327877925306,0.03136267473069861,0.006966293187291304,0.7952472568027185,0.017570796407916808,0.2808726461897303,0.012750880220645624,0.9001705151041586,0.004864993553940107,1.542135079684997,0.019876582515986087,0.8542877021049116,0.014058187963915217,0.9008360228824243,0.004803454684832601,1.5608824518483488,0.02070133305284523,0.8948539777429408,0.009493461560290316
OULAD,pooled_landmark_day14,lightgbm,ood_test,0.4083398133748056,0.0,0.7114563400243404,0.0023391207763501227,0.20959343544322287,0.0009383977985981328,0.6070294202275525,0.0021446126518139567,0.020555745319711317,0.004449555908435077,0.7846423017107309,0.017479495978747924,0.2920006054369275,0.002615771069928045,0.8995820373250389,0.007564522146388108,1.5583786936236392,0.023083013780026532,0.8250178528921686,0.01701543792654215,0.9053265940902021,0.005556800867189145,1.5984350699844478,0.018483462130595894,0.8894559710195968,0.010526262455138815
OULAD,pooled_landmark_day14,logistic_regression,id_test,0.4562570434669528,0.0014354977704024335,0.7463511273961557,0.008475747548140015,0.2023729691249146,0.002691927769863782,0.5908597082734647,0.0056618310636295886,0.02813015095244909,0.006019521101846334,0.8011143895242478,0.017310944712436972,0.2738162721289645,0.009291533653370227,0.8979141252115277,0.00698457809717571,1.5216940699086337,0.02497092128379295,0.85428290200258,0.012491202344897714,0.8989035218240213,0.00877156057129923,1.5325463356727904,0.02635204738508928,0.8914211613618737,0.009440286680714198
OULAD,pooled_landmark_day14,logistic_regression,ood_test,0.4083398133748055,0.0,0.7274679998077546,0.0008731667705586132,0.2044822053316509,0.0003853029653570352,0.5954549656067718,0.0009808807347148263,0.01764748741359557,0.003989339644040973,0.7856629082426128,0.014402061643513523,0.2774480046022064,0.0032364644113023824,0.8981920684292379,0.0056004955728724175,1.530637636080871,0.018042162456143745,0.8233277791002143,0.010366025951927359,0.9010594867807153,0.00577113999658329,1.560624027993779,0.023010263663828464,0.8808616995953343,0.014658335720507275
OULAD,pooled_landmark_day56,lightgbm,id_test,0.4251131612897332,0.0011208198294651434,0.7764187702503793,0.008860842528237921,0.185700593117418,0.0031220173391512934,0.5497900000258031,0.007611421631796362,0.02667971623998881,0.004238267312760166,0.7879409492665526,0.016611973028181144,0.23538104600218923,0.01000077188417331,0.9021332935799137,0.009976998985715491,1.4558470638739085,0.023766834520113148,0.8232830983111705,0.021932517284637035,0.8975897726248464,0.008255978180973277,1.4862468921423722,0.02343298037191259,0.8858894226796945,0.015061283482590176
OULAD,pooled_landmark_day56,lightgbm,ood_test,0.3850175967823027,0.0,0.7585811893707807,0.0020943752796171227,0.18849319499760409,0.0009700485809428545,0.5570557641887871,0.0022854993303285985,0.04226908448232785,0.007385879457513875,0.7742483660130719,0.01702516389547185,0.23828789653577975,0.0034377543182616812,0.9073202614379084,0.008147906171994821,1.4887983911513323,0.026135644354341236,0.8284669626534343,0.018110271588656426,0.8940372046254399,0.011169567779810896,1.5203519356460533,0.02809955105958436,0.880707552479349,0.01954560674643103
OULAD,pooled_landmark_day56,logistic_regression,id_test,0.4251131612897332,0.0011208198294651343,0.78177110630572,0.009237164886818283,0.18378618823450585,0.0034161209997630366,0.5456516626532698,0.00826713583477895,0.03256565650693562,0.006723250677459678,0.7952869781316314,0.013077352556448232,0.23123458406056482,0.009359128524480512,0.8981662975842385,0.01040874272539272,1.4385792936981248,0.038141106614693006,0.8194454944981832,0.02222822396368049,0.9009678509658082,0.009252810380658647,1.4861707731488445,0.03356624614260868,0.8892112080479067,0.013123230682294396
OULAD,pooled_landmark_day56,logistic_regression,ood_test,0.3850175967823027,0.0,0.7758239885927863,0.0011206088514039135,0.1808039201028458,0.0004941248985531042,0.5388074695551787,0.0013299068618262265,0.027266780990296093,0.006525623865560924,0.7847561588738059,0.012935671055720818,0.22292949953017166,0.0026942318341211576,0.904132730015083,0.008643559327064667,1.4417194570135747,0.028487128077206974,0.8059284408461739,0.019662643210417035,0.9038612368024133,0.009094162716623307,1.496500754147813,0.030346851353698297,0.8897877006925052,0.016018859301358296
SouthGermanCredit,targeted_top3,lightgbm,id_test,0.3,0.0,0.7646031746031746,0.041900310304211555,0.17075808375428572,0.012867284496939827,0.5150561935786199,0.0334410445369351,0.0961661378370313,0.02012023199029828,0.7916666666666667,0.05406839939248707,0.20271632221647642,0.03416187452820653,0.9023333333333333,0.05078448904424834,1.4013333333333333,0.11177671979316312,0.7166666666666667,0.11374081088061169,0.9033333333333333,0.034910076629712516,1.519,0.11351430339839731,0.8688888888888888,0.05725506480707402
SouthGermanCredit,targeted_top3,lightgbm,ood_test,0.3,0.0,0.660042328042328,0.051776943942731926,0.20371867626401738,0.014470024177193251,0.6094716819646587,0.05046168313281817,0.10794094945096992,0.03528321295239211,0.9199999999999999,0.058078390260101705,0.27195718301648714,0.023126582127539524,0.8076666666666666,0.05223764858628842,1.225,0.12021180138814345,0.36,0.17252472960762996,0.9103333333333333,0.04392843728542115,1.5803333333333334,0.1494234533835055,0.7233333333333334,0.15234361489097825
SouthGermanCredit,targeted_top3,logistic_regression,id_test,0.3,0.0,0.7837142857142857,0.04842180989290228,0.165558343742019,0.016359553527314993,0.5023507399197273,0.04346326148200456,0.08949119967616738,0.02126687570708541,0.8126666666666666,0.049460244535118145,0.19261785961165967,0.0411018904460932,0.9003333333333334,0.039379693166886505,1.372,0.08183852307837132,0.7166666666666667,0.110964815970495,0.898,0.048611119465329304,1.4816666666666667,0.12912435639802686,0.863015873015873,0.0735210088592683
SouthGermanCredit,targeted_top3,logistic_regression,ood_test,0.3,0.0,0.695047619047619,0.05495635918404353,0.20183345355628482,0.01380747605195441,0.611978118203907,0.056140887924809195,0.1258720210982135,0.03191448482300608,0.9356666666666668,0.04789242331023055,0.27123001383604894,0.023552468582027086,0.7996666666666667,0.04910782979697252,1.1853333333333333,0.11292185363887608,0.3322222222222222,0.1636927659899084,0.9096666666666667,0.054824547368419276,1.527,0.19722608512813608,0.71,0.18017030424438424
