repeat,metric,clean,targeted,random_mean,random_sd,random_min,random_q05,random_median,random_q95,random_max,targeted_minus_random_median,targeted_severity_percentile_among_random
5,average_precision,0.6821019869112299,0.5981527185347584,0.6354740359618284,0.057493079826169295,0.5409975512312175,0.549386236557765,0.6425854618021455,0.7179605380433506,0.7236117768898725,-0.04443274326738711,0.7
5,brier,0.16254940486495742,0.19864384485655237,0.16957811210348622,0.011954994248436462,0.14902512344475374,0.15216865860474166,0.16719376591106913,0.18899849559588544,0.19072994270856578,0.03145007894548324,1.0
5,log_loss,0.48233977637534,0.6633532888432337,0.5124760752319623,0.04110763482672087,0.4557445707639975,0.45820356613084445,0.5080335810284456,0.5974197111929572,0.6052548287179669,0.1553197078147881,1.0
5,ece,0.10528447202610662,0.16932780112712187,0.11635016927823565,0.01749401169896537,0.0826090552624857,0.08676893790847635,0.11521758917134604,0.14270550493528683,0.14273853762884614,0.054110211955775825,1.0
5,hcep_090,0.013333333333333334,0.09333333333333334,0.03133333333333334,0.020530963636328847,0.006666666666666667,0.006666666666666667,0.03,0.08,0.08,0.06333333333333334,1.0
5,aurc,0.10189263782683362,0.17707493045241296,0.12012344457588753,0.019448314395611413,0.09275486423561108,0.09434092380874463,0.11658429063027786,0.1613729296487026,0.16375672369493183,0.060490639822135095,1.0
5,excess_aurc,0.06471267072276052,0.13785754563456273,0.0838951034384259,0.01963289760050855,0.05520701581053302,0.05555650306548773,0.0815016081227455,0.1262662118905562,0.13047194808876902,0.056355937511817236,1.0
6,auroc,0.8052910052910053,0.7223280423280423,0.7965925925925925,0.021490536150018228,0.7453968253968255,0.7474074074074074,0.7994708994708994,0.8195555555555555,0.8332275132275132,-0.07714285714285718,1.0
6,average_precision,0.6580635849833542,0.5834030389449585,0.6396636382854463,0.033254671667588324,0.5904559799924265,0.6008114865518706,0.6358485958265359,0.6872541801378373,0.699367450683899,-0.05244555688157737,1.0
6,brier,0.15822538774267642,0.179834575042134,0.1632880449911346,0.009341497353567617,0.14815947501533983,0.15256752861473766,0.16235805511682516,0.1837989172367792,0.1841335217861437,0.017476519925308825,0.9
6,log_loss,0.4805545411201954,0.5428325070312101,0.49436751084205577,0.024960380899036388,0.45393634418871737,0.4669114525939849,0.49185558203313734,0.5513664510418568,0.5519352522626624,0.05097692499807277,0.9
6,ece,0.10163291801785725,0.06261342467748063,0.09520273847568006,0.018464638415035865,0.06875741338548906,0.07382217818091434,0.09309445481576774,0.1288673259374831,0.14509500530819908,-0.03048103013828711,0.0
6,hcep_090,0.013333333333333334,0.013333333333333334,0.010333333333333332,0.006657888958229701,0.0,0.006333333333333334,0.006666666666666667,0.02666666666666667,0.02666666666666667,0.006666666666666667,0.9
6,aurc,0.11034826473689589,0.17677184984947317,0.1198072350905589,0.01605629532791933,0.09056695597153859,0.1008849329240182,0.11770178729841926,0.15215163702567,0.1549577073183411,0.0590700625510539,1.0
6,excess_aurc,0.07514565528653985,0.13755446503162294,0.0882767300710082,0.012718055154225732,0.07054332345697337,0.07173944882556667,0.08534643008927935,0.11486979903590805,0.11574032250049088,0.05220803494234359,1.0
7,auroc,0.8230687830687831,0.7204232804232805,0.7902433862433862,0.027381635911649833,0.7326984126984126,0.735915343915344,0.7971428571428572,0.8197460317460318,0.824973544973545,-0.07671957671957663,1.0
7,average_precision,0.6962031785828697,0.5627630904470284,0.632941381011759,0.04634562370862528,0.5491227285884549,0.5579872171135221,0.6359191676571221,0.6870094001321388,0.6892361797971405,-0.07315607721009365,0.9
7,brier,0.15432174194503792,0.20500117617344932,0.17102929598525568,0.019548634652862003,0.15204281680403617,0.15363969101900302,0.16341229207897795,0.21018119685752093,0.2155807905532429,0.04158888409447137,0.9
7,log_loss,0.46503944524750135,0.6343290435468775,0.5204561325844025,0.06265028914974073,0.46176795123623854,0.46693241039443123,0.49077603694542915,0.6513843092510733,0.6691654670503637,0.14355300660144832,0.9
7,ece,0.10409190761312138,0.15823419147241566,0.11881936342622904,0.033847664580323615,0.06272932781737964,0.08648660896194851,0.10481392505219433,0.18364393106566831,0.19101032092000866,0.053420266420221324,0.85
7,hcep_090,0.013333333333333334,0.08666666666666667,0.042666666666666665,0.026081294410528304,0.013333333333333334,0.013333333333333334,0.03333333333333333,0.08766666666666668,0.10666666666666667,0.05333333333333334,0.95
7,aurc,0.0962362390627865,0.17192220002649944,0.11914751281842975,0.01867735306926771,0.093456059386404,0.09808913997095799,0.11361572765619056,0.1518868138843094,0.1541420645401308,0.05830647237030888,1.0
7,excess_aurc,0.06835304375994074,0.13060679143426604,0.08384703222512993,0.01358832613121365,0.060171283780241204,0.06657025931913865,0.0826606715490609,0.10658457695399995,0.11458814937729836,0.04794611988520514,1.0
8,auroc,0.8033862433862434,0.7204232804232804,0.7754074074074074,0.0374586245520992,0.7108994708994709,0.7183386243386245,0.7974603174603175,0.814031746031746,0.8152380952380952,-0.07703703703703713,0.85
8,average_precision,0.678899061467384,0.6025429542006169,0.6508315223181588,0.044225358583244355,0.5828718969472226,0.5856555576011406,0.6497445859076121,0.715304070071092,0.7347595843645494,-0.047201631706995206,0.85
8,brier,0.15515295212316926,0.1986801549061494,0.16852004102089668,0.013372985090301213,0.15156139513535127,0.15355710469556397,0.1635035992260028,0.1886906644261082,0.1942014387721989,0.035176555680146604,1.0
8,log_loss,0.4762827038612581,0.6050978618866854,0.5145089630164141,0.04014934530001771,0.4715882471680579,0.4755805116909479,0.4929001830100852,0.5752241574996241,0.5915572298990209,0.11219767887660015,1.0
