heldout_site,mapping,missing_indicators,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,raw,True,ood_test,brier,10,0.22802571152404666,0.094462854539803,0.14944769339133068,0.16373357827820728,0.21037586016235793,0.2358955774857183,0.4665863183419036
Cleveland,raw,True,ood_test,log_loss,10,0.7499135787059801,0.331780420365821,0.5133029272416478,0.5363523949485209,0.6726089548102874,0.7307134288465512,1.6069832524698868
Cleveland,raw,True,ood_test,ece,10,0.21449001663705397,0.10395036502832304,0.12066015034412657,0.1422186442004978,0.17519380363313075,0.2545496578562618,0.4650328218766706
Cleveland,raw,True,ood_test,calibration_intercept,10,0.7196747944737114,0.8258121056721391,-0.7821586441708421,0.17242154905258678,0.8621482069647118,1.1434855561394475,2.0034471979135344
Cleveland,raw,True,ood_test,calibration_slope,10,0.6339428785795423,0.2896513060499327,-0.04093020987319648,0.5213717395567465,0.6667326532938876,0.8410448680361726,0.9282378579503224
Cleveland,raw,True,ood_test,hcep_090,10,0.10759075907590761,0.08330673401944454,0.0462046204620462,0.0594059405940594,0.07755775577557755,0.10643564356435643,0.3201320132013201
Cleveland,raw,True,ood_test,aurc,10,0.202004012328366,0.11880202275480048,0.10117659031166684,0.12504593981115392,0.16888017187082235,0.23594222733156964,0.4986992254932251
Cleveland,raw,True,ood_test,excess_aurc,10,0.14012464009683853,0.06327187980548446,0.07939617412911892,0.09626275262061822,0.12394776104352667,0.1716788080766772,0.2851627904373586
Hungary,isotonic,False,id_test,prevalence,10,0.6526315789473685,0.0,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
Hungary,isotonic,False,id_test,auroc,10,0.8625366568914956,0.02856468652874133,0.8169599217986314,0.8396871945259042,0.864980449657869,0.8847751710654935,0.9000488758553274
Hungary,isotonic,False,id_test,average_precision,10,0.8926680555656155,0.02713684446256879,0.8464450823922798,0.8745572266623423,0.9018639271576888,0.910993876521484,0.9322530586694702
Hungary,isotonic,False,id_test,pr_skill,10,0.6910140993555597,0.078121218907395,0.5579479644626236,0.6388768646340155,0.7174870630297102,0.7437702505921511,0.8049709264727172
Hungary,isotonic,False,id_test,brier,10,0.13699005787909327,0.01711085930631285,0.1140234512341293,0.12175838399016951,0.13847753209795985,0.1498391046680054,0.16401906653202022
Hungary,isotonic,False,id_test,log_loss,10,0.6713685000622032,0.3053664585446058,0.3753049631268827,0.46888508618406644,0.5713662009195952,0.7504419390963858,1.2783064341656531
Hungary,isotonic,False,id_test,ece,10,0.08109452835968656,0.022984492344707435,0.052951962319811696,0.059103335189937864,0.07960118590951305,0.10227469942501444,0.11071775333609803
Hungary,isotonic,False,id_test,calibration_intercept,10,0.2970131425514977,0.2807405652631743,-0.17678527786312764,0.07738957300833904,0.33253041332587363,0.4380552377898157,0.7061515453740322
Hungary,isotonic,False,id_test,calibration_slope,10,0.4176935896335757,0.3057773568891139,0.12448562929433166,0.18643305768972496,0.346552424368522,0.5091487804433191,1.0953161072539157
Hungary,isotonic,False,id_test,hcep_090,10,0.032631578947368414,0.026928538742947216,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.05526315789473685,0.07368421052631578
Hungary,isotonic,False,id_test,aurc,10,0.08468664974076665,0.020990244900826294,0.057444998158039405,0.06838776261324728,0.08885382598381067,0.09030894793882478,0.12545656295216476
Hungary,isotonic,False,id_test,excess_aurc,10,0.06852365942298284,0.017590534353552702,0.04242327246707833,0.05689179313030336,0.0719207089114226,0.07658108573146766,0.09899883566058565
Hungary,isotonic,False,ood_test,prevalence,10,0.3605442176870749,5.851389114294502e-17,0.36054421768707484,0.36054421768707484,0.36054421768707484,0.36054421768707484,0.36054421768707484
Hungary,isotonic,False,ood_test,auroc,10,0.8578733440385389,0.011732321186302193,0.8349558410276998,0.8506435668406263,0.8592181854676839,0.8667201926936973,0.8733942191890807
