target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,auroc,10,0.8723444445948358,0.0003104153161730932,0.8720531024381534,0.8720969862470971,0.8721947984197329,0.8725838915131265,0.872810680860347
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,average_precision,10,0.8652660027685778,0.0004504865445494576,0.8648736614001692,0.8649807602761106,0.865066796632747,0.8655259792876407,0.8662808430008533
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,pr_skill,10,0.7253079303891101,0.0009184399171472672,0.7245080353017774,0.7247263856253028,0.7249017942478619,0.7258379635621703,0.7273769595091276
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,brier,10,0.15818311034281024,0.0007361776508604256,0.1569832768727938,0.15781873220759518,0.15828233585459933,0.15877165551115524,0.15914135485048025
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,log_loss,10,0.4853047906309704,0.002495116412286579,0.4822445565300677,0.4831660517043761,0.48512342695760646,0.48772619757798485,0.48857621245967814
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,ece,10,0.1016641194756123,0.002109420636219625,0.09817395117387474,0.10101971257758594,0.10164177321696304,0.10307840597601252,0.10504474076004133
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,calibration_intercept,10,0.686041972122654,0.013894096495931872,0.662701970053249,0.6791660590611922,0.688204248598403,0.6967581055905179,0.7050772972375331
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,calibration_slope,10,0.9279151553033615,0.03205543580058347,0.8777095880912396,0.914283373151936,0.920892213044199,0.9443177078719249,0.9912565787418716
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,hcep_080,10,0.06677813921160858,0.0031164709836885283,0.0613922111085869,0.06488370400757282,0.06704356531433844,0.0682427276636164,0.0721136552346356
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,hcep_090,10,0.02817558907553222,0.0023739638868117085,0.023256697886230988,0.027009409629782537,0.028497078612462513,0.029415079838506303,0.03135363811553343
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,hcep_095,10,0.010081703328160012,0.0014179218169767462,0.007232983203600163,0.009542442857869817,0.010052346293480575,0.011059618911181592,0.012318826898895649
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,aurc,10,0.11270361983656738,0.0008893339470805476,0.11113272876982237,0.11239549257181691,0.11289431714810469,0.11316991196290246,0.11399438737709013
survey_year_adjusted_50000,logistic_regression,platt,ood_test,survey_weighted,excess_aurc,10,0.08452037579360008,0.0007096457304414544,0.08332573522223283,0.08418943933921244,0.08460982893126706,0.08494062385278749,0.08566376084698926
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,prevalence,10,0.5263600000000002,1.1702778228589004e-16,0.52636,0.52636,0.52636,0.52636,0.52636
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,auroc,10,0.8764986722695302,0.00033216415336512125,0.8761557594270133,0.876257292293968,0.8762954326122185,0.8767423583524615,0.8770239203030743
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,average_precision,10,0.8758618967759334,0.00043631060128206524,0.8753897857213164,0.8755785391224988,0.8756915063400295,0.876067354215887,0.8767375843063185
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,pr_skill,10,0.737906208884244,0.0009211861356347965,0.7369094369591175,0.7373079535564963,0.73754646216542,0.7383399928550947,0.7397550551184835
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,brier,10,0.15433744788470066,0.0006630495042734201,0.15327660142799274,0.1540860458307732,0.15439602453864185,0.15481352878094817,0.15520506096780504
