mapping,scenario_family,metric,n_repeats,mean,sd,min,q25,median,q75,max
platt,none,brier,20,0.16555834374201905,0.016359553527314982,0.14416904617071913,0.15423549082631693,0.16063022262904847,0.1731501574703992,0.21198220800555384
platt,none,log_loss,20,0.5023507399197273,0.04346326148200454,0.4463138313563448,0.47486540512400877,0.4845293276607867,0.5214651110553628,0.6325706655111337
platt,none,ece,20,0.08949119967616742,0.021266875707085405,0.05647429615938288,0.07383528733576399,0.09288710910087425,0.1043900487163677,0.1348867048890488
platt,none,hcep_090,20,0.013333333333333332,0.013679711361135388,0.0,0.0,0.013333333333333334,0.02,0.04666666666666667
platt,none,aurc,20,0.12681725069035193,0.029712980845034907,0.08501906969340313,0.1091536208559481,0.11891944880787778,0.14596567222762877,0.2110163436943155
platt,none,excess_aurc,20,0.09322474968411573,0.02351511295178651,0.06353557739245691,0.07737777720276308,0.08941788888483398,0.10542536007543471,0.16069150282766007
platt,random_feature_set_deletion,auroc,400,0.7654185185185185,0.049382873431438795,0.6118518518518519,0.7397883597883598,0.7682539682539682,0.8044973544973545,0.8486772486772486
platt,random_feature_set_deletion,average_precision,400,0.598242549901518,0.06980372566566827,0.4014108063142698,0.5603151245496338,0.6046886201848889,0.6496360393658454,0.7347595843645494
platt,random_feature_set_deletion,brier,400,0.1746910415294325,0.01812044525627936,0.1442722182449276,0.16048800411599706,0.17431136492500593,0.1839925974798791,0.2472717028513076
platt,random_feature_set_deletion,log_loss,400,0.5283425267856902,0.054138636153202635,0.45393634418871737,0.49167971114024167,0.5191506869817807,0.5513232301291608,0.8437648070487394
platt,random_feature_set_deletion,ece,400,0.10184336873852312,0.028800020858047653,0.040120279592342344,0.08208907779369126,0.0992834079142669,0.11767843472225278,0.22518855978627447
platt,random_feature_set_deletion,hcep_090,400,0.0197,0.023692051055322752,0.0,0.006666666666666667,0.013333333333333334,0.02666666666666667,0.16666666666666666
platt,random_feature_set_deletion,aurc,400,0.1409141770181932,0.0314866705635411,0.08630697569003316,0.11715196441262693,0.13505198648565647,0.1566743323384674,0.2498513405741581
platt,random_feature_set_deletion,excess_aurc,400,0.10427022351183733,0.025634685810053275,0.05520701581053302,0.08540414289653986,0.10064691557852617,0.11625635234189093,0.20415583187907518
platt,targeted_feature_deletion,auroc,20,0.695047619047619,0.05495635918404352,0.6118518518518519,0.6508465608465608,0.6974603174603174,0.7218518518518519,0.8044444444444445
platt,targeted_feature_deletion,average_precision,20,0.531084004305095,0.07459858155891562,0.40383061515506324,0.46957900511576145,0.5332653705406456,0.5990967063748083,0.6771834915900431
platt,targeted_feature_deletion,brier,20,0.20183345355628485,0.013807476051954426,0.179834575042134,0.1930488881176783,0.1986619998813509,0.2104919446772969,0.23959766966083748
platt,targeted_feature_deletion,log_loss,20,0.6119781182039071,0.056140887924809216,0.5428325070312101,0.5699891561249323,0.605518553736361,0.6351781015812007,0.7840255613491607
platt,targeted_feature_deletion,ece,20,0.12587202109821355,0.03191448482300608,0.06261342467748063,0.10389579108083857,0.12115788646331774,0.14663186479130397,0.20266953141049124
platt,targeted_feature_deletion,hcep_090,20,0.044666666666666674,0.03759432581299116,0.0,0.013333333333333334,0.04,0.06666666666666667,0.15333333333333332
platt,targeted_feature_deletion,aurc,20,0.1916158132800996,0.027999069279026716,0.14536000136026567,0.17555943739372973,0.184959997540023,0.21644616888196033,0.23368049711265365
platt,targeted_feature_deletion,excess_aurc,20,0.14592885525043683,0.02799877684210153,0.09503516049361024,0.1302245618079143,0.13926448884494008,0.17331720392157418,0.18933218606271573
raw,none,auroc,20,0.7837142857142857,0.048421809892902255,0.6486772486772486,0.7624867724867724,0.8043386243386244,0.814074074074074,0.8518518518518519
raw,none,average_precision,20,0.6255457472948958,0.07080582308710338,0.43883596764277044,0.5655998536074544,0.6509098463588683,0.6824798441745812,0.7072883119688597
raw,none,brier,20,0.16634339700254538,0.01988228702295649,0.14145834083767614,0.15302158128380258,0.1583253413126654,0.17616149521702432,0.2215352614807685
raw,none,log_loss,20,0.5067202687578598,0.056237982952661976,0.43645984300328733,0.4757124725346693,0.48166366168478536,0.53445266445452,0.6781547426643625
raw,none,ece,20,0.09636701417120254,0.026439044961703864,0.04960515748548835,0.0778146727234591,0.09787192293828607,0.10941759491906394,0.14916550312169016
raw,none,hcep_090,20,0.026333333333333337,0.014096575835726835,0.0,0.02,0.02666666666666667,0.03333333333333333,0.06
raw,none,aurc,20,0.12767441081486733,0.031446791889912874,0.08525289590929366,0.10812551874717226,0.11827668206074982,0.14611524302194284,0.21647839089521967
raw,none,excess_aurc,20,0.09301875759602551,0.025963853971651175,0.062253988266410876,0.07497626868265042,0.08981254261388544,0.10748703182482955,0.16615355002856425
