repeat,target_definition,marginal_coverage,marginal_worst_class_coverage,marginal_avg_set_size,marginal_singleton_rate,marginal_ambiguous_rate,marginal_empty_rate,label_conditional_coverage,label_conditional_worst_class_coverage,label_conditional_avg_set_size,label_conditional_singleton_rate,label_conditional_ambiguous_rate,label_conditional_empty_rate,domain_family,condition_id,delta_coverage,delta_worst_class_coverage,delta_avg_set_size,delta_singleton_rate,delta_ambiguous_rate,delta_empty_rate,analysis_id,horizon_day,scenario,heldout_site
8,,0.9106012658227848,0.8977635782747604,1.5870253164556962,0.4129746835443038,0.5870253164556962,0.0,0.9113924050632912,0.8833865814696485,1.6028481012658229,0.3971518987341772,0.6028481012658228,0.0,OULAD,FFF-B|14,0.0007911392405064444,-0.014376996805111841,0.015822784810126667,-0.015822784810126556,0.015822784810126556,0.0,FFF-B,14.0,,
9,,0.8742088607594937,0.8594249201277955,1.4715189873417722,0.5284810126582279,0.4715189873417721,0.0,0.8837025316455697,0.8690095846645367,1.4936708860759491,0.5063291139240507,0.4936708860759494,0.0,OULAD,FFF-B|14,0.009493670886076,0.009584664536741228,0.02215189873417689,-0.022151898734177222,0.022151898734177278,0.0,FFF-B,14.0,,
0,,0.8933333333333333,0.7878359264497878,1.4838888888888888,0.5161111111111111,0.4838888888888888,0.0,0.9038888888888889,0.8444130127298444,1.52,0.48,0.52,0.0,OULAD,FFF-J|14,0.01055555555555554,0.05657708628005653,0.036111111111111205,-0.036111111111111094,0.036111111111111205,0.0,FFF-J,14.0,,
1,,0.9016666666666666,0.7934936350777935,1.5355555555555556,0.4644444444444444,0.5355555555555556,0.0,0.9283333333333332,0.8896746817538896,1.617222222222222,0.3827777777777778,0.6172222222222222,0.0,OULAD,FFF-J|14,0.026666666666666616,0.09618104667609617,0.08166666666666633,-0.08166666666666661,0.08166666666666667,0.0,FFF-J,14.0,,
2,,0.8927777777777778,0.7765205091937766,1.4905555555555556,0.5094444444444445,0.4905555555555556,0.0,0.9388888888888888,0.9123055162659124,1.6594444444444445,0.3405555555555555,0.6594444444444445,0.0,OULAD,FFF-J|14,0.04611111111111099,0.1357850070721358,0.16888888888888887,-0.16888888888888898,0.16888888888888892,0.0,FFF-J,14.0,,
3,,0.9166666666666666,0.8330975954738331,1.5655555555555556,0.4344444444444444,0.5655555555555556,0.0,0.9172222222222224,0.8910891089108911,1.5788888888888888,0.4211111111111111,0.5788888888888889,0.0,OULAD,FFF-J|14,0.0005555555555557534,0.057991513437057995,0.013333333333333197,-0.013333333333333308,0.013333333333333308,0.0,FFF-J,14.0,,
4,,0.915,0.8302687411598303,1.556111111111111,0.4438888888888889,0.5561111111111111,0.0,0.9233333333333332,0.8557284299858557,1.586111111111111,0.4138888888888888,0.5861111111111111,0.0,OULAD,FFF-J|14,0.008333333333333193,0.02545968882602545,0.030000000000000027,-0.030000000000000082,0.030000000000000027,0.0,FFF-J,14.0,,
5,,0.8983333333333333,0.7892503536067893,1.521111111111111,0.4788888888888888,0.5211111111111111,0.0,0.9022222222222224,0.8797736916548797,1.5483333333333331,0.4516666666666666,0.5483333333333333,0.0,OULAD,FFF-J|14,0.0038888888888890527,0.09052333804809043,0.027222222222222037,-0.027222222222222203,0.02722222222222226,0.0,FFF-J,14.0,,
6,,0.9277777777777778,0.8656294200848657,1.6077777777777778,0.3922222222222222,0.6077777777777778,0.0,0.9138888888888888,0.9002744739249772,1.626111111111111,0.3738888888888889,0.6261111111111111,0.0,OULAD,FFF-J|14,-0.013888888888889062,0.03464505384011152,0.018333333333333313,-0.018333333333333313,0.018333333333333313,0.0,FFF-J,14.0,,
7,,0.8972222222222223,0.7934936350777935,1.515,0.485,0.515,0.0,0.9055555555555556,0.8189533239038189,1.5361111111111112,0.4638888888888889,0.5361111111111111,0.0,OULAD,FFF-J|14,0.008333333333333304,0.02545968882602545,0.021111111111111303,-0.02111111111111108,0.02111111111111108,0.0,FFF-J,14.0,,
