mapping,scenario_family,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
isotonic,none,marginal,0.1,class0_coverage,20,0.970952380952381,0.03066280584049956,0.8857142857142857,0.969047619047619,0.9809523809523809,0.9904761904761905,1.0
isotonic,none,marginal,0.1,class1_coverage,20,0.8188888888888888,0.0986655602909362,0.6222222222222222,0.75,0.8222222222222222,0.8888888888888888,1.0
isotonic,none,marginal,0.1,class0_singleton_accuracy,20,0.950942912714033,0.05089788212293186,0.8153846153846154,0.939598880597015,0.9648690292758089,0.9848565924657534,1.0
isotonic,none,marginal,0.1,class1_singleton_accuracy,19,0.47402369825475227,0.2305279094064049,0.07142857142857142,0.30952380952380953,0.5,0.6666666666666666,0.8666666666666667
isotonic,none,marginal,0.1,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isotonic,none,marginal,0.2,coverage,20,0.8656666666666666,0.060224725353127596,0.7266666666666667,0.84,0.88,0.9133333333333333,0.9533333333333334
isotonic,none,marginal,0.2,avg_set_size,20,1.2786666666666666,0.12051740307708446,1.0466666666666666,1.2233333333333334,1.2833333333333332,1.3433333333333333,1.5
isotonic,none,marginal,0.2,singleton_rate,20,0.7213333333333335,0.12051740307708447,0.5,0.6566666666666667,0.7166666666666667,0.7766666666666667,0.9533333333333334
isotonic,none,marginal,0.2,singleton_accuracy,20,0.8206419610826075,0.05298914704816376,0.7007299270072993,0.808521331248604,0.830952380952381,0.8456932773109244,0.9066666666666666
isotonic,none,marginal,0.2,class0_coverage,20,0.9571428571428573,0.04022849168367581,0.8761904761904762,0.9214285714285715,0.9761904761904762,0.9904761904761905,1.0
isotonic,none,marginal,0.2,class1_coverage,20,0.6522222222222223,0.14990141876456117,0.37777777777777777,0.6222222222222222,0.6555555555555556,0.75,0.8888888888888888
isotonic,none,marginal,0.2,class0_singleton_accuracy,20,0.9477662929951641,0.04613232722956322,0.8433734939759037,0.9149974450689831,0.9660053929121726,0.9852692018072289,1.0
isotonic,none,marginal,0.2,class1_singleton_accuracy,20,0.3867833324503553,0.19325950949139672,0.07142857142857142,0.27033492822966504,0.36,0.5334224598930482,0.7142857142857143
isotonic,none,marginal,0.2,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,fixed_count_mcar_like,label_conditional,0.05,coverage,20,0.9613333333333334,0.03183289703016886,0.88,0.9516666666666667,0.97,0.9816666666666667,1.0
platt,fixed_count_mcar_like,label_conditional,0.05,avg_set_size,20,1.7570000000000001,0.11545941794839627,1.5666666666666667,1.65,1.7733333333333334,1.8433333333333333,1.9466666666666668
platt,fixed_count_mcar_like,label_conditional,0.05,singleton_rate,20,0.24299999999999997,0.11545941794839631,0.05333333333333334,0.15666666666666668,0.22666666666666666,0.35000000000000003,0.43333333333333335
platt,fixed_count_mcar_like,label_conditional,0.05,singleton_accuracy,20,0.8475109658661623,0.09019726534478743,0.6666666666666666,0.7826797385620915,0.8535539215686274,0.9135532591414944,1.0
platt,fixed_count_mcar_like,label_conditional,0.05,class0_coverage,20,0.9661904761904762,0.02906425424479462,0.8952380952380953,0.95,0.9809523809523809,0.9833333333333333,1.0
platt,fixed_count_mcar_like,label_conditional,0.05,class1_coverage,20,0.95,0.05578898328765551,0.7777777777777778,0.9111111111111111,0.9777777777777777,0.9833333333333333,1.0
platt,fixed_count_mcar_like,label_conditional,0.05,class0_singleton_accuracy,20,0.8131733309856376,0.20069279761272274,0.2857142857142857,0.7781746031746032,0.8666666666666667,0.9433823529411764,1.0
