horizon_day,repeat,domain,conformal_method,aggregation,coverage,avg_set_size,singleton_rate,class0_coverage,class1_coverage,class0_avg_set_size,class1_avg_set_size,class0_singleton_accuracy,class1_singleton_accuracy
14,9,ood_test,marginal,equal_pair,0.8919815504205114,1.567894470920033,0.4321055290799669,0.938126231468493,0.8015575620730865,1.5556531611504196,1.6032542294196275,0.8572729775516634,0.4419829826098742
14,9,ood_test,marginal,size_weighted,0.8862771221926151,1.5445374952417206,0.45546250475827943,0.9361731407369198,0.7949017173372553,1.5267163545938078,1.5820021698735602,0.8549190634637474,0.48812254155668267
56,0,id_test,label_conditional,equal_pair,0.9045878791863999,1.5674074704130823,0.4325925295869178,0.8931525027850624,0.9109616345939191,1.6287718169456569,1.4812094191566945,0.6960313345371588,0.8202643041243328
56,0,id_test,label_conditional,size_weighted,0.9042080128094174,1.5440803340355,0.4559196659645,0.891302043913362,0.914963062910758,1.6099722753872825,1.4608628904463032,0.711051046785778,0.8380567684272086
56,0,id_test,marginal,equal_pair,0.8986643637045213,1.4816106654469368,0.5183893345530632,0.9581420741486705,0.7965835815487985,1.462308892344903,1.5307528181702983,0.9190806062541128,0.5160406632772894
56,0,id_test,marginal,size_weighted,0.8925450119429159,1.462755245071556,0.5372447549284441,0.9532551103388549,0.801981478922087,1.4453435087446054,1.5022266705796843,0.9115009418018905,0.5763715296152778
56,0,ood_test,label_conditional,equal_pair,0.8948355880916308,1.55324776858843,0.44675223141156967,0.8901054831359443,0.8911569643812418,1.6019499327140478,1.4834816241861222,0.6545027386533947,0.8076352827656768
56,0,ood_test,label_conditional,size_weighted,0.8865164096480822,1.502570185844207,0.4974298141557928,0.8922534930360904,0.8614448386195539,1.5441751957846124,1.4498339182737527,0.6951188187034003,0.7683307720123929
56,0,ood_test,marginal,equal_pair,0.8976470767413394,1.481612878860202,0.5183871211397979,0.9637043424439038,0.7750822726102904,1.4558869488069064,1.5395667314078214,0.9220679589279087,0.48213845551872914
56,0,ood_test,marginal,size_weighted,0.8852313167259787,1.436041913799921,0.563958086200079,0.9624223887224169,0.7471679065193679,1.4098443541401173,1.4898175167070506,0.9198996025658149,0.5138669724863622
56,1,id_test,label_conditional,equal_pair,0.8970250407430116,1.536580214549627,0.4634197854503731,0.8941252097378408,0.9004536819969958,1.586986179823874,1.464230603608179,0.6598677116217216,0.828903780568156
56,1,id_test,label_conditional,size_weighted,0.8866985382964914,1.4846134334119123,0.5153865665880877,0.8856376194077972,0.8869312235206956,1.5361608456233669,1.4161135914820138,0.7245590198805053,0.8106472122007978
