horizon_day,domain,aggregation,metric,n_repeats,mean,sd,min,q25,median,q75,max
56,ood_test,equal_pair,calibration_intercept,10,-0.20500629337922463,0.34469169845860936,-1.1755142808777455,-0.1353429824928433,-0.11869300880204411,-0.05902620413711429,-0.010332954043887305
56,ood_test,equal_pair,calibration_slope,10,0.9254896410133864,0.30027195294093645,0.09269041239046777,0.9573483679852826,1.0083462894313717,1.05451209513217,1.1542503644375168
56,ood_test,equal_pair,hcep_080,10,0.04356034927773658,0.006275213162913601,0.029197144720461667,0.04138987447837988,0.04490178350780938,0.04699736437143026,0.050593935788995716
56,ood_test,equal_pair,hcep_090,10,0.013839909582244047,0.0057046312536947,0.0048984938946716,0.009492594015055233,0.015029953149106084,0.017812285767513116,0.021244248604246934
56,ood_test,equal_pair,hcep_095,10,0.004888178925542595,0.0029786293377880545,0.0017488260222292967,0.001997338319643288,0.005216317074385752,0.006757767522419114,0.01067004243220661
56,ood_test,equal_pair,aurc,10,0.18469158231244892,0.00790932954257913,0.17572813606156695,0.18012184204647624,0.18237097564529192,0.18720411688292987,0.2000535396118533
56,ood_test,equal_pair,excess_aurc,10,0.1395680579217899,0.00703889055381432,0.132481143022386,0.13439789791394668,0.1377323904680029,0.14223271211588967,0.1547628679125848
56,ood_test,size_weighted,prevalence,10,0.38780150257018586,0.0,0.38780150257018586,0.38780150257018586,0.38780150257018586,0.38780150257018586,0.38780150257018586
56,ood_test,size_weighted,auroc,10,0.7466647622375131,0.0031630778523389935,0.7410975906090768,0.7450387929296495,0.746942444358649,0.7487160132566759,0.7519837499584863
56,ood_test,size_weighted,average_precision,10,0.6830393600496654,0.0036704853890429413,0.6762120063632798,0.6816770552226304,0.684653808427436,0.6852267533439158,0.6863042845539601
56,ood_test,size_weighted,pr_skill,10,0.4880857222536751,0.006284139465771849,0.47521448983664005,0.4873773103875649,0.49047864886946213,0.49142633287700427,0.49400830655751826
56,ood_test,size_weighted,brier,10,0.1928438306622633,0.0025793418368529352,0.18838545981281044,0.19184710261766738,0.1938079399757447,0.19453038174208048,0.19555268867188408
56,ood_test,size_weighted,log_loss,10,0.57594688400132,0.010803151642211607,0.5579103391031696,0.569348651525584,0.5788327741853765,0.5837571363747207,0.5906611239510469
56,ood_test,size_weighted,ece,10,0.0698875421093041,0.010268642575102096,0.05189882952987464,0.06485395117717699,0.07334515893832047,0.07780230992550927,0.08030968478657745
56,ood_test,size_weighted,calibration_intercept,10,-0.13072246494504774,0.12762107364082265,-0.46244717708399075,-0.14798387148223074,-0.09471930028939199,-0.07209769968983307,0.0013624737707370084
56,ood_test,size_weighted,calibration_slope,10,0.961326071787363,0.1092324247360149,0.6755152806038193,0.9502996388362714,1.001882464070226,1.014220819745712,1.0537967940484259
56,ood_test,size_weighted,hcep_080,10,0.04894226967180704,0.009947134461753373,0.029754843811783314,0.04623863187030447,0.05229339659944642,0.05634638196915777,0.05782918149466192
56,ood_test,size_weighted,hcep_090,10,0.018011071569790434,0.00897538624010233,0.004250691973111902,0.011293989719256624,0.021500593119810202,0.025133451957295373,0.028766310794780547
56,ood_test,size_weighted,hcep_095,10,0.006603400553578491,0.0046757600093552745,0.0014827995255041518,0.002051206010280743,0.00736457097667062,0.009341637010676158,0.015322261763542903
56,ood_test,size_weighted,aurc,10,0.1813262929811494,0.005981792140953345,0.17548244052377454,0.17764628580581188,0.17944838747007094,0.1826558237121674,0.1959932897125002
56,ood_test,size_weighted,excess_aurc,10,0.13514333525187322,0.004450179468335274,0.13127573203430104,0.13186395533897813,0.1341005798357126,0.13633179483389002,0.14536834775824778
