repeat,target_definition,metric,delta_ood_minus_id
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",hcep_090,0.011887278950258769
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",hcep_095,0.004706602965869995
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",aurc,0.032382613780039995
3,"domain
    survey_year_adjusted_50000
Name: 10, dtype: object",excess_aurc,0.02508441375984221
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",prevalence,0.12619082089677813
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",auroc,-0.008403007695226616
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",average_precision,0.05699829054972194
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",pr_skill,0.03312481973266046
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",brier,0.024561977223221065
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",log_loss,0.07183917749659025
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",ece,0.08967376021691399
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",calibration_intercept,0.6857574218047761
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",calibration_slope,-0.05240755933565755
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",hcep_080,0.020902284813020644
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",hcep_090,0.01165078774630338
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",hcep_095,0.00552460152193642
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",aurc,0.03527553611435663
3,"domain
    unadjusted_reported_income_50000
Name: 11, dtype: object",excess_aurc,0.027355764186389034
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",prevalence,0.008160475964428426
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",auroc,-0.006528495101699172
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",average_precision,-0.002571936915850559
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",pr_skill,-0.008467840217462719
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",brier,0.004381035971560476
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",log_loss,0.012564035887160041
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",ece,-0.0015962711781984072
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",calibration_intercept,-0.09091248894683625
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",calibration_slope,-0.025241828234903507
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",hcep_080,0.0009359585904485934
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",hcep_090,0.0020708224338726287
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",hcep_095,0.000723802242751528
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",aurc,0.006405904400419993
4,"domain
    cpi_constant_2018usd
Name: 12, dtype: object",excess_aurc,0.004775524539835402
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",prevalence,0.12185922102621388
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",auroc,-0.008642978750313723
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",average_precision,0.055790152622776756
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",pr_skill,0.036284652821512164
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",brier,0.02267743288930632
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",log_loss,0.0649915154849785
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",ece,0.09112011213462407
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",calibration_intercept,0.6868577451284125
4,"domain
    survey_year_adjusted_50000
Name: 13, dtype: object",calibration_slope,-0.05753455551351694
