target_definition,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,ood_test,brier,5,0.14023593024423736,0.0009009145805508659,0.1392415818368384,0.13943232989627674,0.14048991507626127,0.14058621002540447,0.1414296143864059
cpi_constant_2018usd,ood_test,log_loss,5,0.43394421060895816,0.002228596650133827,0.4315014107586928,0.4318419116175349,0.43470772934887747,0.4349005208422714,0.43676948047741454
cpi_constant_2018usd,ood_test,ece,5,0.012270842198775972,0.0028944933125101082,0.008762124687811911,0.009706765197231416,0.01325620249070206,0.014216709694287052,0.015412408923847425
cpi_constant_2018usd,ood_test,calibration_intercept,5,-0.07607884448191769,0.04094243487026427,-0.11409654600773579,-0.09896278396026213,-0.09602191600701804,-0.05879143692312693,-0.01252153951144558
cpi_constant_2018usd,ood_test,calibration_slope,5,0.9658505532017545,0.023922271592474013,0.9347189016187873,0.9485345066528017,0.9694167656962707,0.9879885038959672,0.9885940881449458
cpi_constant_2018usd,ood_test,hcep_090,5,0.01735694027460276,0.0014751385939583243,0.01567397567219498,0.01618066712277531,0.01726007098532875,0.018601029034772617,0.01906895855794213
cpi_constant_2018usd,ood_test,aurc,5,0.08682959538314772,0.0010054772511543263,0.08586285305928991,0.08587273004373026,0.08685281328660886,0.08733963329037647,0.08821994723573308
survey_year_adjusted_50000,id_test,prevalence,5,0.3875121099015365,0.003933418159103407,0.38244303062403084,0.3844110540279727,0.388719454585308,0.390331276068443,0.39165573420192795
survey_year_adjusted_50000,id_test,auroc,5,0.8827026779530028,0.0022445209072339853,0.8794568090052322,0.8813859480665056,0.8835326698386925,0.884232091426439,0.8849058714281444
survey_year_adjusted_50000,id_test,average_precision,5,0.8185509674771417,0.0028032687922650065,0.8155360249731627,0.8160703796886297,0.8189057076990967,0.8199275518682532,0.8223151731565659
survey_year_adjusted_50000,id_test,brier,5,0.13464441135322874,0.0011436536203145355,0.1336144756043312,0.13390231936996483,0.13394972988670067,0.13565936634272402,0.1360961655624231
survey_year_adjusted_50000,id_test,log_loss,5,0.41797276347387663,0.0028409936857112703,0.41530570016962387,0.41578594755383275,0.4168870923131032,0.42005603466353636,0.421829042669287
survey_year_adjusted_50000,id_test,ece,5,0.013114335350681114,0.0031213619031957613,0.009216537565568422,0.012226004355320525,0.012998011517695533,0.013224718973224523,0.017906404341596568
survey_year_adjusted_50000,id_test,calibration_intercept,5,-0.003118110019724573,0.049716190290325896,-0.0670572745276324,-0.03995970199784833,0.009132643728304265,0.027501067982885544,0.05479271471566806
survey_year_adjusted_50000,id_test,calibration_slope,5,1.0085321088882624,0.03268781815622832,0.9784725726219012,0.9790986135988546,1.0033239911447167,1.0270294599599654,1.0547359071158742
survey_year_adjusted_50000,id_test,hcep_090,5,0.015508875876771688,0.0019548788152995715,0.013220853238613254,0.014604325269451907,0.014665460238271722,0.017092708908087246,0.017961031729434324
survey_year_adjusted_50000,id_test,aurc,5,0.07876282688071598,0.0012563727845134299,0.07739840638585249,0.07783019949496436,0.07859736659749067,0.07948265998467806,0.08050550194059433
survey_year_adjusted_50000,ood_test,prevalence,5,0.5104900939839709,0.0020616414074085495,0.5079535510713501,0.5092412475790963,0.5107236007031852,0.5111159627861519,0.5134161077800712
survey_year_adjusted_50000,ood_test,auroc,5,0.8718021024995085,0.0017152814143959404,0.8696654933060803,0.8709246040003621,0.8713293873348636,0.8732893573206066,0.8738016705356297
survey_year_adjusted_50000,ood_test,average_precision,5,0.8641834728817284,0.0021640695477118887,0.861653568941855,0.8629684449720264,0.8638937332382265,0.865053454024526,0.8673481632320081
survey_year_adjusted_50000,ood_test,brier,5,0.15909533557289723,0.002980618380609025,0.15619959210811898,0.15643368912552585,0.1586660882917797,0.16109807705783386,0.1630792312812277
survey_year_adjusted_50000,ood_test,log_loss,5,0.48746381401311556,0.008051117545645596,0.47941452745350666,0.48039522808182206,0.4868565051570129,0.49212354928060703,0.4985292600926292
survey_year_adjusted_50000,ood_test,ece,5,0.10394658696826742,0.007097969926314556,0.09717586824327658,0.0983818558304026,0.10222455108612287,0.10758829697297874,0.11436236270855636
