target_definition,model,mapping,domain,alpha,conformal_method,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,class0_avg_set_size,10,1.191950817502418,0.01178899138578399,1.17466499084697,1.1816556330093526,1.1926187502445527,1.2015771252147438,1.209887224105108
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,class1_avg_set_size,10,1.2996876206510222,0.026770041185664874,1.2750445626892672,1.2838763033697604,1.2895211945677236,1.3082895861221622,1.364250603212669
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,class0_singleton_accuracy,10,0.9173359668056698,0.010343107920929278,0.9052731752164122,0.9086574419247034,0.9175767803767432,0.9202077685014306,0.9398702703255515
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,survey_weighted,class1_singleton_accuracy,10,0.7988303482728158,0.013608442974968335,0.7761372062284406,0.7923789556342774,0.7989888109570262,0.8098076412729509,0.8169031564141811
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,coverage,10,0.9040800000000001,0.004769740008961337,0.9004,0.9014166666666666,0.9024,0.9045666666666667,0.9162666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,avg_set_size,10,1.24128,0.014764682585543533,1.2238666666666667,1.2323833333333334,1.2360666666666666,1.2455666666666667,1.2757333333333334
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,singleton_rate,10,0.7587200000000001,0.014764682585543532,0.7242666666666666,0.7544333333333333,0.7639333333333334,0.7676166666666666,0.7761333333333333
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,ambiguous_rate,10,0.24128,0.014764682585543512,0.22386666666666666,0.23238333333333333,0.23606666666666667,0.24556666666666666,0.27573333333333333
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,singleton_accuracy,10,0.873639475135571,0.004183411636521971,0.8699852058132451,0.8714384718704883,0.8721468726096687,0.8743132707437107,0.8843888070692194
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,class0_coverage,10,0.9209061860318382,0.009734445638670262,0.9121414805577599,0.9123332378878383,0.92086720874195,0.9243430190166091,0.943145710394916
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,class1_coverage,10,0.8800532116749642,0.007583997918939778,0.865909090909091,0.8749397118374497,0.880830904854309,0.8868695275390135,0.8886551221880563
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,class0_avg_set_size,10,1.208281769694221,0.012091616619644014,1.1891402714932127,1.2006234876121504,1.2087077083468278,1.217456643508353,1.227411858065979
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,class1_avg_set_size,10,1.288394002899603,0.025720679221647655,1.2689577282994515,1.2732142857142856,1.2767366720516962,1.2969023413602199,1.3527795733678087
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,class0_singleton_accuracy,10,0.900081474410954,0.012492974482611966,0.8862802641232576,0.8891432879297612,0.9009499263864433,0.905930995128833,0.9269572824026826
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.1,marginal,unweighted,class1_singleton_accuracy,10,0.8311686637426574,0.013310222480014178,0.8114856429463171,0.8195892627665223,0.8322126472087412,0.8435965108992979,0.8468388245770259
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,coverage,10,0.8128683103907888,0.016413359780326937,0.7845936331587823,0.8040540511153584,0.8108022704704891,0.8250193915107256,0.8365758950545302
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,avg_set_size,10,1.0152210004194029,0.02916619355113741,0.9637599188142377,1.0,1.0069009439613588,1.0405899657158515,1.0542697095253424
