target_definition,model,mapping,domain,desired_selection_rate,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.8,survey_weighted,selective_accuracy,10,0.8608765430677577,0.006148511783778136,0.8506580490357033,0.8575720294418403,0.8615299624240722,0.8665412949052088,0.8673596933944215
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.9,survey_weighted,selection_rate,10,0.9107410648387763,0.01045942388308522,0.8958963543618704,0.9031395863882588,0.9115129727218366,0.916325680913335,0.9268401571377225
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.9,survey_weighted,selective_risk,10,0.16530174474080775,0.0036817387109613,0.16039290161978967,0.1638039310784549,0.16492061899536864,0.16667420249688275,0.17371796267369144
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.9,survey_weighted,selective_accuracy,10,0.8346982552591922,0.003681738710961289,0.8262820373263086,0.8333257975031173,0.8350793810046313,0.8361960689215451,0.8396070983802103
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.95,survey_weighted,selection_rate,10,0.9647040958039647,0.013701273125551498,0.9455117503936784,0.9595036992464757,0.963318739057266,0.9669589682425079,0.998492711006346
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.95,survey_weighted,selective_risk,10,0.18076283327091763,0.0060629015357952344,0.17300041283572343,0.17705917066359067,0.18033224600271255,0.18329767257982144,0.19448628953733077
cpi_constant_2018usd,logistic_regression,isotonic,id_test,0.95,survey_weighted,selective_accuracy,10,0.8192371667290825,0.0060629015357952214,0.8055137104626693,0.8167023274201786,0.8196677539972874,0.8229408293364093,0.8269995871642766
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.5,survey_weighted,selection_rate,10,0.4971534303907574,0.008070435993403352,0.48669162348027645,0.4927141603806812,0.49421023762819166,0.4998747824947553,0.515881618132745
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.5,survey_weighted,selective_risk,10,0.07858943308885366,0.0013023606591979426,0.07712627496442476,0.07792497454005559,0.07832117244637082,0.07880746665077112,0.08187851666867019
cpi_constant_2018usd,logistic_regression,isotonic,ood_test,0.5,survey_weighted,selective_accuracy,10,0.9214105669111463,0.00130236065919794,0.9181214833313298,0.9211925333492289,0.9216788275536292,0.9220750254599444,0.9228737250355752
