analysis_id,estimand,representation,horizon_day,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
FFF-J,landmark_still_registered,score_free,14,ood_test,aurc,10,0.21059905146664493,0.0030601439382363016,0.20698101879654401,0.20853408330131684,0.20992458957803461,0.21193348897842917,0.21737481515957094
FFF-J,landmark_still_registered,score_free,14,ood_test,excess_aurc,10,0.15618333086869138,0.003508014732955526,0.15172119758607527,0.15424647587728,0.1546529767202905,0.15829686230495527,0.16382017360414056
FFF-J,landmark_still_registered,score_free,56,id_test,prevalence,10,0.4270833333333333,0.0,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.4270833333333333
FFF-J,landmark_still_registered,score_free,56,id_test,auroc,10,0.8080709534368072,0.015986488487967118,0.7935452081793546,0.7960950973146095,0.8053461443705348,0.8128479921162848,0.8457748213845775
FFF-J,landmark_still_registered,score_free,56,id_test,average_precision,10,0.7736381445173776,0.022099718121554816,0.7371958418421978,0.7634686231586478,0.770678091922433,0.7849426637499965,0.817219879405847
FFF-J,landmark_still_registered,score_free,56,id_test,pr_skill,10,0.6048956704303317,0.03857405344853204,0.5412872875791088,0.5871452331496398,0.5997290331737011,0.6246271949090847,0.6809656076902055
FFF-J,landmark_still_registered,score_free,56,id_test,brier,10,0.17553027289099316,0.007770697609383848,0.15677933931176224,0.17376396005932465,0.17715597092942695,0.18002314439795625,0.18396939509119126
FFF-J,landmark_still_registered,score_free,56,id_test,log_loss,10,0.5263316407153528,0.01823678891450479,0.48366949587854957,0.5222687300924366,0.5287303035645867,0.5344644339910121,0.5486921381008697
FFF-J,landmark_still_registered,score_free,56,id_test,ece,10,0.06740223798831631,0.0115319862835788,0.05251179642363884,0.058823804994501586,0.06621274737018126,0.07761757003195317,0.08242973392103926
FFF-J,landmark_still_registered,score_free,56,id_test,calibration_intercept,10,-0.07024059607203546,0.12360848535688529,-0.2091754767083147,-0.15903575171557055,-0.08544885612395595,0.0005624683936609129,0.183040546347345
FFF-J,landmark_still_registered,score_free,56,id_test,calibration_slope,10,0.9712967799508025,0.1311349727824658,0.7966262591125081,0.9046097229932566,0.9607060786790739,1.0025375156134748,1.2164775113417077
FFF-J,landmark_still_registered,score_free,56,id_test,hcep_080,10,0.043055555555555555,0.012909114345924708,0.024305555555555556,0.03211805555555555,0.043402777777777776,0.05295138888888889,0.0625
FFF-J,landmark_still_registered,score_free,56,id_test,hcep_090,10,0.008680555555555556,0.005728874384613232,0.003472222222222222,0.006944444444444444,0.006944444444444444,0.006944444444444444,0.024305555555555556
FFF-J,landmark_still_registered,score_free,56,id_test,hcep_095,10,0.0027777777777777775,0.0021960261528947075,0.0,0.0008680555555555555,0.003472222222222222,0.003472222222222222,0.006944444444444444
FFF-J,landmark_still_registered,score_free,56,id_test,aurc,10,0.14488562611182568,0.014482390039227766,0.11215637727636651,0.141097238644916,0.14443430625354992,0.14928253199165356,0.16400605712287808
FFF-J,landmark_still_registered,score_free,56,id_test,excess_aurc,10,0.10726830240515843,0.012437144860547127,0.0854014429250542,0.10195308587393626,0.10580357828183584,0.11136391043685198,0.1277381749611551
FFF-J,landmark_still_registered,score_free,56,ood_test,prevalence,10,0.36056009334889155,5.851389114294502e-17,0.3605600933488915,0.3605600933488915,0.3605600933488915,0.3605600933488915,0.3605600933488915
FFF-J,landmark_still_registered,score_free,56,ood_test,auroc,10,0.7810273604516571,0.005361229576432676,0.7704745706659109,0.778926531901826,0.7811569874565942,0.7844788640068031,0.789676493515697
FFF-J,landmark_still_registered,score_free,56,ood_test,average_precision,10,0.7012786479161555,0.008115172643024443,0.685209109900433,0.6996688863100409,0.7024178595443129,0.7044832867131767,0.7131414981398181
FFF-J,landmark_still_registered,score_free,56,ood_test,pr_skill,10,0.5328390534017251,0.01269106378662767,0.5077084072712976,0.5303215977512866,0.5346206307107229,0.537850687432833,0.5513909925288761
FFF-J,landmark_still_registered,score_free,56,ood_test,brier,10,0.17579882447718592,0.003127110040909462,0.17151478096484057,0.17398432564234423,0.17510079966190079,0.17736103857495064,0.18160998190259278
FFF-J,landmark_still_registered,score_free,56,ood_test,log_loss,10,0.5270738781982418,0.008085501009920636,0.516101146802568,0.5225020370295277,0.5250517207992038,0.5291205053544974,0.5420041948084309
FFF-J,landmark_still_registered,score_free,56,ood_test,ece,10,0.03710266247200167,0.01552126082532777,0.017014147717610065,0.026797862769856046,0.03549158224491421,0.04344817856499443,0.06471601494499724
FFF-J,landmark_still_registered,score_free,56,ood_test,calibration_intercept,10,-0.08321124401953203,0.08891322019974113,-0.20363364303213474,-0.15184932134621926,-0.08537028223646274,-0.03556547226421372,0.07732697669866785
FFF-J,landmark_still_registered,score_free,56,ood_test,calibration_slope,10,1.080100729502967,0.13369162636530238,0.9335031557054091,1.0036229901687288,1.0384386048412027,1.1110750377753267,1.3939789106882343
FFF-J,landmark_still_registered,score_free,56,ood_test,hcep_080,10,0.034072345390898484,0.011476441698580898,0.011668611435239206,0.03296382730455076,0.03763127187864644,0.04011085180863477,0.047257876312718786
FFF-J,landmark_still_registered,score_free,56,ood_test,hcep_090,10,0.0035589264877479584,0.0021559757373653186,0.0005834305717619603,0.002042007001166861,0.003500583430571762,0.004521586931155192,0.007584597432905484
FFF-J,landmark_still_registered,score_free,56,ood_test,hcep_095,10,0.0009334889148191365,0.0004919918568912298,0.0005834305717619603,0.0005834305717619603,0.0005834305717619603,0.0011668611435239206,0.001750291715285881
FFF-J,landmark_still_registered,score_free,56,ood_test,aurc,10,0.14531428921326034,0.004790544694209452,0.13706412789372388,0.1427710625239639,0.14513716547510266,0.14733976990198044,0.1548526595639727
FFF-J,landmark_still_registered,score_free,56,ood_test,excess_aurc,10,0.10826712028076116,0.004231539761307019,0.10121066447256459,0.1063545543669269,0.10796717311330997,0.10961297148771902,0.11672221665955393
GGG-J,landmark_still_registered,score_free,14,id_test,prevalence,10,0.36428571428571427,0.0,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.36428571428571427
GGG-J,landmark_still_registered,score_free,14,id_test,auroc,10,0.5952632738488653,0.07604843178240273,0.3978849966953073,0.5844899757655871,0.6177572152456489,0.6380810751266799,0.6615994712491737
GGG-J,landmark_still_registered,score_free,14,id_test,average_precision,10,0.4619956247732988,0.06919456797127556,0.31365467537690883,0.43752026945710654,0.4771570503741132,0.5008185038740778,0.556798377056904
GGG-J,landmark_still_registered,score_free,14,id_test,pr_skill,10,0.15370098278945882,0.10884538781998403,-0.07964433086778384,0.11520042386511145,0.1775504163188298,0.2147706802513583,0.30282890772996146
GGG-J,landmark_still_registered,score_free,14,id_test,brier,10,0.2249668643753459,0.006095815450104298,0.2160532254780385,0.2210238232880709,0.22393021841901706,0.22810796442097894,0.2358702147353935
GGG-J,landmark_still_registered,score_free,14,id_test,log_loss,10,0.6415881990512609,0.012854807887618737,0.6231884053996364,0.6330387762347801,0.6381661104570657,0.6490722427911417,0.6652090865361057
GGG-J,landmark_still_registered,score_free,14,id_test,ece,10,0.08192766336049259,0.029897560442318637,0.0466818822649422,0.060745014918287876,0.0784620851365623,0.09419430384059438,0.13570522141402483
GGG-J,landmark_still_registered,score_free,14,id_test,calibration_intercept,10,-0.38699265758959717,1.290336375585465,-4.0074429592781975,-0.22104612758178896,-0.08915776459355422,0.15992574628843798,0.3537145233943906
GGG-J,landmark_still_registered,score_free,14,id_test,calibration_slope,10,0.30228750367939944,2.241554828001073,-5.9711350003108254,0.589831025801008,0.790442376929961,1.3442135387239935,1.570380584159383
GGG-J,landmark_still_registered,score_free,14,id_test,hcep_080,10,0.007857142857142858,0.009190599555056564,0.0,0.0,0.0035714285714285713,0.014285714285714285,0.02142857142857143
GGG-J,landmark_still_registered,score_free,14,id_test,hcep_090,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGG-J,landmark_still_registered,score_free,14,id_test,hcep_095,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGG-J,landmark_still_registered,score_free,14,id_test,aurc,10,0.3034559114357659,0.06368896799804269,0.26437819640904303,0.27324505404067756,0.28220820580095063,0.30307290394214526,0.47861348436796225
GGG-J,landmark_still_registered,score_free,14,id_test,excess_aurc,10,0.2321613806760377,0.06337818594093843,0.17313392604520317,0.20419020586874914,0.21197609605196432,0.23715276155955742,0.4023141745422875
GGG-J,landmark_still_registered,score_free,14,ood_test,prevalence,10,0.38214783821478376,5.851389114294502e-17,0.3821478382147838,0.3821478382147838,0.3821478382147838,0.3821478382147838,0.3821478382147838
