repeat,feature_set,auroc,brier,ece,hcep_090,aurc
4,famges|rate|wohnzeit,0.7978835978835979,0.16257731214352716,0.1006973736025209,0.02,0.11810493085163574
4,beszeit|laufkont|wohn,0.7748148148148148,0.18535298845634743,0.13131114182108722,0.04,0.14969437875315347
4,gastarb|verm|verw,0.7917460317460318,0.16275517325834465,0.09165832279946033,0.02666666666666667,0.12321410485631851
4,bishkred|laufkont|wohnzeit,0.7494179894179894,0.19210651282981794,0.14581255001385696,0.07333333333333333,0.1517527748946706
5,alter|beruf|bishkred,0.816931216931217,0.16004886835942944,0.0869878791003706,0.02666666666666667,0.09996663323124795
5,beruf|hoehe|pers,0.7947089947089948,0.16678242602150997,0.11317718338443176,0.04,0.11672678738315209
5,moral|verw|wohn,0.7720634920634921,0.1809969769700683,0.12306378006337831,0.03333333333333333,0.13435350692140707
5,famges|moral|pers,0.8086772486772487,0.16239219271234717,0.11935661216799295,0.013333333333333334,0.10767764893930755
5,alter|moral|weitkred,0.783068783068783,0.17541175314956622,0.10793567871155231,0.013333333333333334,0.12442408315327833
5,beruf|buerge|hoehe,0.795978835978836,0.16824419210130448,0.09679058165339935,0.03333333333333333,0.11473118374577518
5,famges|moral|telef,0.8004232804232804,0.1676051058006283,0.09670139232657333,0.006666666666666667,0.11270626119693437
5,famges|hoehe|sparkont,0.7853968253968254,0.16434531008823489,0.14273853762884614,0.04,0.116681647763051
5,gastarb|telef|wohn,0.826031746031746,0.15786197376062053,0.11351839152443698,0.006666666666666667,0.09275486423561108
5,famges|moral|verw,0.777989417989418,0.18084121780051182,0.1366360595515867,0.03333333333333333,0.1281516094968779
5,alter|sparkont|wohnzeit,0.7853968253968254,0.17710306476194096,0.11691678681825511,0.013333333333333334,0.12402367751931015
5,bishkred|hoehe|weitkred,0.797037037037037,0.165982896893693,0.10650847028484811,0.04666666666666667,0.11576148929422894
5,beszeit|rate|verm,0.8296296296296296,0.15884806798633036,0.1269431587970467,0.02,0.11648693349750475
5,beruf|rate|verm,0.8251851851851851,0.1634894664702052,0.11986665197894221,0.02,0.1152661515190298
5,bishkred|laufkont|moral,0.7322751322751323,0.19072994270856578,0.13192303257963411,0.08,0.1612474668041642
5,alter|hoehe|wohnzeit,0.7815873015873016,0.17285900467370977,0.1125965523008939,0.04,0.1214212626439039
5,famges|verm|wohn,0.8342857142857144,0.14902512344475374,0.0826090552624857,0.02,0.09693510913850978
5,gastarb|verm|wohn,0.8256084656084657,0.1523341078236884,0.10965886143809644,0.02,0.09442440062838324
5,laufkont|laufzeit|rate,0.7464550264550265,0.18775318374213498,0.14270376637246793,0.04,0.1449714507111417
5,laufkont|sparkont|wohnzeit,0.7276190476190476,0.1889073668004812,0.14037095361947494,0.08,0.16375672369493183
6,bishkred|buerge|pers,0.8188359788359787,0.15372242244145468,0.09067163483616326,0.006666666666666667,0.10142798434256976
6,gastarb|wohn|wohnzeit,0.8154497354497354,0.15279953143575858,0.07408874474909462,0.013333333333333334,0.10490424753182717
6,alter|gastarb|telef,0.7896296296296296,0.1667608937199474,0.11013637297920181,0.006666666666666667,0.12847303879942518
6,laufzeit|telef|weitkred,0.7908994708994709,0.16483937291773637,0.09525420516635456,0.006666666666666667,0.12202444729425832
6,alter|beszeit|hoehe,0.7947089947089948,0.162133275021138,0.08525618647635358,0.013333333333333334,0.11918261563954682
6,buerge|pers|wohn,0.8332275132275132,0.14815947501533983,0.07414778456398075,0.006666666666666667,0.09056695597153859
6,gastarb|laufkont|weitkred,0.7453968253968255,0.1841335217861437,0.10791769583763798,0.02666666666666667,0.15200394911552942
6,beruf|bishkred|wohnzeit,0.8061375661375662,0.15743858277909709,0.12801323754955066,0.013333333333333334,0.10793733512219605
6,beszeit|verm|weitkred,0.8078306878306878,0.15927159935146964,0.09224521653104072,0.006666666666666667,0.11353655114725195
6,alter|telef|weitkred,0.7987301587301587,0.1625828352125123,0.10233974906353004,0.006666666666666667,0.11985832341635855
6,bishkred|gastarb|rate,0.7959788359788359,0.16725125136061988,0.09394369310049476,0.006666666666666667,0.1268346508599972
6,beruf|hoehe|weitkred,0.7955555555555556,0.16063706136888375,0.09798794761042706,0.013333333333333334,0.11514269326159723
6,bishkred|gastarb|laufkont,0.7475132275132275,0.1837813064710232,0.09989634916918584,0.02666666666666667,0.1549577073183411
6,gastarb|pers|wohnzeit,0.8082539682539682,0.15529728947990187,0.07480572663894174,0.013333333333333334,0.1086236794055618
6,beruf|hoehe|sparkont,0.8012698412698414,0.16426131821364487,0.08829732639413877,0.0,0.1162209589572917
6,beszeit|verm|weitkred,0.8078306878306878,0.15927159935146964,0.09224521653104072,0.006666666666666667,0.11353655114725195
6,verm|wohn|wohnzeit,0.8154497354497355,0.15446184649478592,0.10216057051543485,0.013333333333333334,0.10504479330603994
6,famges|laufzeit|telef,0.7777777777777777,0.16855089190729985,0.06875741338548906,0.006666666666666667,0.12723007592505828
6,buerge|famges|moral,0.7811640211640212,0.16932011499834,0.08079469310734111,0.006666666666666667,0.13232150187747682
6,rate|telef|weitkred,0.8002116402116402,0.17108671049612548,0.14509500530819908,0.006666666666666667,0.13631664137206062
7,rate|verw|wohn,0.7813756613756614,0.17218199163270706,0.06272932781737964,0.03333333333333333,0.12744484925925836
7,alter|telef|weitkred,0.8165079365079364,0.15545306702380246,0.13758516631986747,0.02,0.09833298631751346
7,bishkred|buerge|pers,0.824973544973545,0.15204281680403617,0.13016572204015925,0.02666666666666667,0.093456059386404
7,bishkred|famges|pers,0.8120634920634922,0.15935863546462334,0.10593776386745601,0.06666666666666667,0.1027816090640058
7,bishkred|pers|verw,0.7879365079365079,0.16803198631817448,0.10274171684778989,0.04,0.11961142535232587
7,gastarb|hoehe|laufkont,0.7570370370370371,0.20989700771564082,0.1832562263364925,0.08666666666666667,0.14856997256376997
7,gastarb|sparkont|wohnzeit,0.8194708994708995,0.15660895691210133,0.09262287708271456,0.013333333333333334,0.10336676068628256
7,buerge|hoehe|rate,0.8074074074074075,0.16472868174450078,0.08773699218008371,0.02,0.11087807250232848
7,beruf|bishkred|laufzeit,0.7985185185185185,0.15609508017551146,0.10312799724736633,0.04666666666666667,0.11635338281005264
7,beszeit|laufkont|moral,0.7326984126984126,0.19191660666452398,0.14377053505614756,0.07333333333333333,0.15176811648137145
7,beruf|gastarb|wohn,0.8131216931216931,0.15372373703031705,0.10063292953435114,0.03333333333333333,0.10561689236018898
7,laufzeit|moral|telef,0.7957671957671957,0.16069615348864164,0.09110629335651936,0.013333333333333334,0.11048761446179785
7,alter|bishkred|telef,0.8067724867724868,0.15917008302151592,0.14946059408516552,0.02666666666666667,0.10677849976809377
7,laufkont|rate|sparkont,0.7360846560846561,0.19133920645825508,0.12658619113843494,0.03333333333333333,0.1541420645401308
7,alter|telef|verw,0.7815873015873016,0.16825247395917856,0.10795835259514905,0.04,0.122279547034677
7,buerge|hoehe|verw,0.7851851851851851,0.16848900305001155,0.10369008623693267,0.03333333333333333,0.12029994541586525
7,hoehe|laufkont|pers,0.7542857142857142,0.2155807905532429,0.19101032092000866,0.10666666666666667,0.14568670760809715
7,buerge|gastarb|hoehe,0.8133333333333334,0.15540958040774158,0.10016430930941131,0.02666666666666667,0.10435476376830027
7,famges|gastarb|wohn,0.8057142857142857,0.16209590241345515,0.09018308686583124,0.03333333333333333,0.10677171018011258
7,laufkont|pers|telef,0.7750264550264551,0.1995141588671319,0.16592077968732008,0.08,0.1339692768080185
8,moral|wohn|wohnzeit,0.7976719576719576,0.15943894306620285,0.10939711245235274,0.0,0.11542720906131776
8,famges|laufzeit|wohn,0.8152380952380952,0.16443092981959395,0.10424452818189155,0.013333333333333334,0.11343712767591238
8,bishkred|buerge|moral,0.8044444444444444,0.15493410565194907,0.11406585090776868,0.006666666666666667,0.11668466772646809
