repeat,rank,feature_code,feature_name,mutual_information
13,16,beruf,job,0.0025580284214201457
13,17,buerge,other debtors or guarantors,0.0014189709219459348
13,18,pers,people liable,0.0004301259587196765
13,19,wohnzeit,present residence duration,0.00021291847710941392
13,20,telef,telephone,7.050729166263592e-06
14,1,laufkont,checking-account status,0.05314223502729396
14,2,alter,age,0.049325888000237406
14,3,moral,credit history,0.03112499360702163
14,4,hoehe,credit amount,0.024456420869534368
14,5,sparkont,savings status,0.024090735763248765
14,6,verw,purpose,0.023621144337047005
14,7,verm,property,0.014624351926338153
14,8,laufzeit,duration,0.01372939255656469
14,9,gastarb,foreign-worker status,0.010281865358916537
14,10,wohn,housing,0.009446712570962579
14,11,beszeit,employment duration,0.0089504967808723
14,12,weitkred,other installment plans,0.0089103578786765
14,13,rate,installment rate,0.00691316905271569
14,14,famges,personal status and sex,0.005510152117075243
14,15,buerge,other debtors or guarantors,0.005339868398452061
14,16,beruf,job,0.0027411123508351287
14,17,bishkred,number of existing credits,0.0026517964396207787
14,18,wohnzeit,present residence duration,0.0006963135330813608
14,19,telef,telephone,0.0004189291190348221
14,20,pers,people liable,0.00019250401207304702
15,1,laufkont,checking-account status,0.06345398840321857
15,2,hoehe,credit amount,0.03433318384551476
15,3,laufzeit,duration,0.03344651951396127
15,4,moral,credit history,0.030510253353859484
15,5,verw,purpose,0.02068839269328407
15,6,sparkont,savings status,0.019758352306217655
15,7,verm,property,0.009795635325939744
15,8,beszeit,employment duration,0.008209325996093114
15,9,wohn,housing,0.006718584392008037
15,10,rate,installment rate,0.005519223128639297
15,11,weitkred,other installment plans,0.004544741748570169
15,12,famges,personal status and sex,0.0028686801317976546
15,13,gastarb,foreign-worker status,0.0017690344692111865
15,14,wohnzeit,present residence duration,0.0016313808877860547
15,15,bishkred,number of existing credits,0.0014339121913795813
15,16,alter,age,0.0012460323640000048
15,17,telef,telephone,0.0010597608151365068
15,18,buerge,other debtors or guarantors,0.0007694548474056484
15,19,beruf,job,0.00047570130158841595
15,20,pers,people liable,0.0003062169834714412
16,1,laufkont,checking-account status,0.06772724680632278
16,2,laufzeit,duration,0.05251139387265491
16,3,moral,credit history,0.021113724629395175
16,4,verw,purpose,0.019472187406097356
16,5,beszeit,employment duration,0.015326042297282627
16,6,sparkont,savings status,0.013893282465762519
16,7,rate,installment rate,0.00952962980613778
16,8,hoehe,credit amount,0.007156561174771481
16,9,wohn,housing,0.007061252111317445
16,10,verm,property,0.006859680577012389
16,11,famges,personal status and sex,0.004713159232623096
16,12,buerge,other debtors or guarantors,0.0035852781738842654
16,13,weitkred,other installment plans,0.0034546407489540742
16,14,gastarb,foreign-worker status,0.0031381426272675816
16,15,bishkred,number of existing credits,0.0025029545075497695
16,16,beruf,job,0.0008374333309396631
16,17,wohnzeit,present residence duration,0.0005018177949137059
16,18,pers,people liable,0.00043206009274529555
16,19,telef,telephone,0.0003852740776389696
16,20,alter,age,0.0
17,1,laufkont,checking-account status,0.05958441499314174
17,2,moral,credit history,0.030256639374061305
17,3,laufzeit,duration,0.02589417447880482
17,4,sparkont,savings status,0.015862231312135478
17,5,verm,property,0.013465326312438797
17,6,hoehe,credit amount,0.012107491358382516
17,7,verw,purpose,0.010916439607914585
17,8,alter,age,0.009628198656852494
17,9,beszeit,employment duration,0.005490277284664044
17,10,bishkred,number of existing credits,0.0050831541165358585
17,11,wohn,housing,0.004772528519913138
17,12,gastarb,foreign-worker status,0.003948472935693285
17,13,weitkred,other installment plans,0.003724719415742414
17,14,rate,installment rate,0.00329935578465608
17,15,buerge,other debtors or guarantors,0.0031098150876857147
17,16,beruf,job,0.0029796439399834666
17,17,famges,personal status and sex,0.0020356539465426204
17,18,telef,telephone,0.0006417788032349048
17,19,wohnzeit,present residence duration,0.00011027252533632459
17,20,pers,people liable,1.2373997649250956e-05
18,1,laufkont,checking-account status,0.06369354112206013
18,2,moral,credit history,0.041984171216608926
18,3,sparkont,savings status,0.021757202163215222
18,4,verw,purpose,0.018628861541595675
18,5,laufzeit,duration,0.014323169814013381
18,6,beszeit,employment duration,0.013466878454992101
18,7,wohn,housing,0.011748384043628407
18,8,famges,personal status and sex,0.009181348569895054
18,9,weitkred,other installment plans,0.006323396595498812
18,10,hoehe,credit amount,0.005094943450403955
18,11,verm,property,0.004791339490412216
18,12,rate,installment rate,0.003998973169650921
18,13,alter,age,0.003456004998968476
18,14,bishkred,number of existing credits,0.002369152869817792
18,15,beruf,job,0.0022811553267276657
18,16,gastarb,foreign-worker status,0.002274748758660853
18,17,wohnzeit,present residence duration,0.0013924902722084326
18,18,buerge,other debtors or guarantors,0.0012446655064595677
18,19,telef,telephone,0.0012048476008995057
18,20,pers,people liable,0.00027572447162471647
19,1,laufkont,checking-account status,0.0433080636363284
19,2,laufzeit,duration,0.0410060165081525
19,3,hoehe,credit amount,0.02827899647133325
19,4,moral,credit history,0.026647441676685063
19,5,verw,purpose,0.02445185034710829
19,6,sparkont,savings status,0.016542245987433382
19,7,verm,property,0.01095364723929837
19,8,beszeit,employment duration,0.008920096388169665
19,9,weitkred,other installment plans,0.005880936914065299
19,10,famges,personal status and sex,0.004717967510004459
19,11,gastarb,foreign-worker status,0.0039863888141244645
19,12,beruf,job,0.003574567617418846
19,13,buerge,other debtors or guarantors,0.003400143925861826
19,14,wohn,housing,0.002733082394734937
19,15,rate,installment rate,0.002360577089013008
19,16,wohnzeit,present residence duration,0.0013251045475372314
19,17,bishkred,number of existing credits,0.001119628139386578
19,18,telef,telephone,0.0008893691698342587
19,19,pers,people liable,0.0003456166662271637
19,20,alter,age,0.0
